gene_symbol	ensgid_version	ensgid	enstid_version	biotype	u5_len	u5_AUG	u5_ORF	u5_oORF_total	u5_oORF	u5_NTE	u5_oORF_altered_cds	u5_oORF_kozak	u5_ORF_kozak	u5_ORF_cap_to_start	u5_ORF_cds_proximity	u5_ORF_leader_proximity	u5_GC	u3_len	u3_AUG	u3_ORF	u3_ORF_kozak	u3_GC
HSPB6	ENSG00000004776.13	ENSG00000004776	ENST00000004982.6	protein_coding	21	0	0	0	0	0	0	0	0				0.666666666666667	956	4	4	3	0.583682008368201
PDK4	ENSG00000004799.8	ENSG00000004799	ENST00000005178.6	protein_coding	223	0	0	0	0	0	0	0	0				0.681614349775785	2142	48	7	3	0.340336134453782
CCL26	ENSG00000006606.9	ENSG00000006606	ENST00000005180.9	protein_coding	35	0	0	0	0	0	0	0	0				0.542857142857143	155	1	1	2	0.535483870967742
USH1C	ENSG00000006611.17	ENSG00000006611	ENST00000005226.12	protein_coding	109	0	0	0	0	0	0	0	0				0.73394495412844	432	1	1	2	0.520833333333333
RALA	ENSG00000006451.8	ENSG00000006451	ENST00000005257.7	protein_coding	291	0	0	0	0	0	0	0	0				0.676975945017182	1875	37	5	3	0.3648
BCAP29	ENSG00000075790.12	ENSG00000075790	ENST00000005259.9	protein_coding	70	0	0	0	0	0	0	0	0				0.742857142857143	2115	40	5	3	0.314420803782506
BAIAP2L1	ENSG00000006453.14	ENSG00000006453	ENST00000005260.9	protein_coding	238	0	0	0	0	0	0	0	0				0.760504201680672	1871	35	5	3	0.506680919294495
CACNG3	ENSG00000006116.4	ENSG00000006116	ENST00000005284.4	protein_coding	420	5	4	1	0	1	2	2	2	105	270;192;84;64	105;183;291;146	0.583333333333333	549	13	2	3	0.482695810564663
DVL2	ENSG00000004975.12	ENSG00000004975	ENST00000005340.10	protein_coding	255	0	0	0	0	0	0	0	0				0.737254901960784	523	4	4	2	0.504780114722753
RPAP3	ENSG00000005175.10	ENSG00000005175	ENST00000005386.8	protein_coding	85	0	0	0	0	0	0	0	0				0.705882352941177	2256	46	7	3	0.323581560283688
UPP2	ENSG00000007001.13	ENSG00000007001	ENST00000005756.5	protein_coding	188	2	2	0	0	0	0	0	2	15	149;65	15;102	0.297872340425532	1264	27	4	3	0.374208860759494
PRSS21	ENSG00000007038.11	ENSG00000007038	ENST00000005995.8	protein_coding	32	0	0	0	0	0	0	0	0				0.78125	114	2	0	0	0.517543859649123
HOXA11	ENSG00000005073.6	ENSG00000005073	ENST00000006015.4	protein_coding	88	1	1	0	0	0	0	0	2	45	7	45	0.534090909090909	1639	24	5	3	0.49359365466748
CX3CL1	ENSG00000006210.7	ENSG00000006210	ENST00000006053.7	protein_coding	79	0	0	0	0	0	0	0	0				0.721518987341772	2012	26	7	3	0.5720675944334
SPATA20	ENSG00000006282.21	ENSG00000006282	ENST00000006658.11	protein_coding	35	0	0	0	0	0	0	0	0				0.828571428571429	190	0	0	0	0.6
CD79B	ENSG00000007312.13	ENSG00000007312	ENST00000006750.8	protein_coding	70	0	0	0	0	0	0	0	0				0.6	486	8	1	3	0.637860082304527
RHBDD2	ENSG00000005486.17	ENSG00000005486	ENST00000006777.11	protein_coding	49	0	0	0	0	0	0	0	0				0.816326530612245	577	9	1	3	0.558058925476603
RPUSD1	ENSG00000007376.8	ENSG00000007376	ENST00000007264.7	protein_coding	133	0	0	0	0	0	0	0	0				0.804511278195489	976	9	2	3	0.659836065573771
TSR3	ENSG00000007520.4	ENSG00000007520	ENST00000007390.3	protein_coding	74	0	0	0	0	0	0	0	0				0.797297297297297	197	3	2	2	0.563451776649746
OSBPL7	ENSG00000006025.12	ENSG00000006025	ENST00000007414.8	protein_coding	216	1	1	0	0	0	0	0	2	117	66	117	0.657407407407407	919	10	1	3	0.613710554951034
ARHGAP33	ENSG00000004777.19	ENSG00000004777	ENST00000007510.9	protein_coding	95	1	1	0	0	0	0	0	3	20	15	20	0.757894736842105	393	7	1	3	0.55470737913486
NDUFAB1	ENSG00000004779.10	ENSG00000004779	ENST00000007516.8	protein_coding	26	0	0	0	0	0	0	0	0				0.653846153846154	168	4	1	2	0.380952380952381
YBX2	ENSG00000006047.13	ENSG00000006047	ENST00000007699.10	protein_coding	139	0	0	0	0	0	0	0	0				0.81294964028777	420	4	3	2	0.492857142857143
KRT33A	ENSG00000006059.4	ENSG00000006059	ENST00000007735.4	protein_coding	61	0	0	0	0	0	0	0	0				0.557377049180328	27	0	0	0	0.555555555555556
TFAP2D	ENSG00000008197.5	ENSG00000008197	ENST00000008391.4	protein_coding	530	5	5	0	0	0	0	0	3	26	453;420;388;350;126	26;83;112;102;218	0.381132075471698	169	3	0	0	0.337278106508876
CRY1	ENSG00000008405.12	ENSG00000008405	ENST00000008527.10	protein_coding	588	2	2	0	0	0	0	0	2	311	235;34	311;530	0.680272108843537	638	17	5	2	0.280564263322884
PGLYRP1	ENSG00000008438.5	ENSG00000008438	ENST00000008938.5	protein_coding	32	0	0	0	0	0	0	0	0				0.75	85	2	1	2	0.541176470588235
STARD3NL	ENSG00000010270.14	ENSG00000010270	ENST00000009041.12	protein_coding	234	1	0	1	0	1	2	3	0				0.713675213675214	764	23	6	3	0.335078534031414
CD9	ENSG00000010278.15	ENSG00000010278	ENST00000009180.10	protein_coding	100	0	0	0	0	0	0	0	0				0.71	438	7	5	2	0.296803652968037
CD74	ENSG00000019582.17	ENSG00000019582	ENST00000009530.13	protein_coding	161	0	0	0	0	0	0	0	0				0.565217391304348	601	7	2	3	0.550748752079867
RPS20	ENSG00000008988.11	ENSG00000008988	ENST00000009589.8	protein_coding	123	0	0	0	0	0	0	0	0				0.609756097560976	36	1	1	1	0.25
CPA1	ENSG00000091704.10	ENSG00000091704	ENST00000011292.8	protein_coding	27	0	0	0	0	0	0	0	0				0.666666666666667	97	0	0	0	0.525773195876289
RANBP9	ENSG00000010017.13	ENSG00000010017	ENST00000011619.6	protein_coding	330	0	0	0	0	0	0	0	0				0.8	864	20	3	3	0.336805555555556
CD4	ENSG00000010610.10	ENSG00000010610	ENST00000011653.9	protein_coding	202	0	0	0	0	0	0	0	0				0.589108910891089	1470	19	5	3	0.542857142857143
SS18L2	ENSG00000008324.12	ENSG00000008324	ENST00000011691.6	protein_coding	38	0	0	0	0	0	0	0	0				0.657894736842105	2425	40	7	3	0.371546391752577
TSPAN9	ENSG00000011105.14	ENSG00000011105	ENST00000011898.10	protein_coding	159	0	0	0	0	0	0	0	0				0.60377358490566	3443	31	5	3	0.581760092942202
QPCTL	ENSG00000011478.13	ENSG00000011478	ENST00000012049.10	protein_coding	38	0	0	0	0	0	0	0	0				0.578947368421053	938	6	6	3	0.510660980810235
PPP5C	ENSG00000011485.15	ENSG00000011485	ENST00000012443.9	protein_coding	10	0	0	0	0	0	0	0	0				0.7	629	6	4	2	0.640699523052464
UBR7	ENSG00000012963.15	ENSG00000012963	ENST00000013070.11	protein_coding	36	0	0	0	0	0	0	0	0				0.722222222222222	2180	46	10	3	0.43256880733945
INMT	ENSG00000241644.2	ENSG00000241644	ENST00000013222.5	protein_coding	16	0	0	0	0	0	0	0	0				0.5	1751	27	5	3	0.483152484294689
GPRC5A	ENSG00000013588.9	ENSG00000013588	ENST00000014914.6	protein_coding	110	0	0	0	0	0	0	0	0				0.645454545454546	5398	72	14	3	0.478140051871063
HEBP1	ENSG00000013583.10	ENSG00000013583	ENST00000014930.9	protein_coding	151	0	0	0	0	0	0	0	0				0.788079470198676	438	4	4	2	0.392694063926941
COX15	ENSG00000014919.13	ENSG00000014919	ENST00000016171.6	protein_coding	78	0	0	0	0	0	0	0	0				0.576923076923077	3719	84	21	3	0.397687550416779
MS4A12	ENSG00000071203.9	ENSG00000071203	ENST00000016913.8	protein_coding	57	0	0	0	0	0	0	0	0				0.43859649122807	306	9	2	3	0.330065359477124
RGPD5	ENSG00000015568.13	ENSG00000015568	ENST00000016946.8	protein_coding	161	0	0	0	0	0	0	0	0				0.714285714285714	1809	40	6	3	0.352681039248203
XYLT2	ENSG00000015532.10	ENSG00000015532	ENST00000017003.7	protein_coding	15	0	0	0	0	0	0	0	0				0.733333333333333	894	10	1	3	0.551454138702461
SCTR	ENSG00000080293.10	ENSG00000080293	ENST00000019103.8	protein_coding	257	2	2	0	0	0	0	0	3	49	190;67	49;133	0.785992217898833	274	4	2	2	0.583941605839416
PSD	ENSG00000059915.17	ENSG00000059915	ENST00000020673.6	protein_coding	168	1	1	0	0	0	0	0	2	100	14	100	0.702380952380952	581	7	6	3	0.640275387263339
SYT13	ENSG00000019505.8	ENSG00000019505	ENST00000020926.8	protein_coding	134	0	0	0	0	0	0	0	0				0.805970149253731	3750	68	14	3	0.425066666666667
SNAI2	ENSG00000019549.13	ENSG00000019549	ENST00000020945.4	protein_coding	164	1	1	0	0	0	0	0	2	91	64	91	0.737804878048781	1209	32	7	3	0.314309346567411
VDAC3	ENSG00000078668.14	ENSG00000078668	ENST00000022615.9	protein_coding	91	0	0	0	0	0	0	0	0				0.538461538461538	475	11	1	3	0.412631578947368
SLC7A9	ENSG00000021488.13	ENSG00000021488	ENST00000023064.9	protein_coding	193	0	0	0	0	0	0	0	0				0.626943005181347	109	1	0	0	0.302752293577982
RB1CC1	ENSG00000023287.13	ENSG00000023287	ENST00000025008.10	protein_coding	527	3	3	0	0	0	0	0	3	257	255;107;96	257;381;302	0.620493358633776	1324	30	2	3	0.290785498489426
AKAP11	ENSG00000023516.9	ENSG00000023516	ENST00000025301.4	protein_coding	176	1	1	0	0	0	0	0	2	44	72	44	0.465909090909091	4033	58	6	3	0.330275229357798
CDH17	ENSG00000079112.10	ENSG00000079112	ENST00000027335.8	protein_coding	93	1	1	0	0	0	0	0	2	27	45	27	0.365591397849462	1078	18	4	2	0.391465677179963
B4GALT7	ENSG00000027847.14	ENSG00000027847	ENST00000029410.10	protein_coding	79	1	0	1	0	1	2	1	0				0.848101265822785	635	9	2	2	0.566929133858268
CHPF2	ENSG00000033100.17	ENSG00000033100	ENST00000035307.7	protein_coding	1529	10	2	0	0	0	8	3	3	762	722;651	762;851	0.615434924787443	141	4	1	3	0.446808510638298
GABARAPL2	ENSG00000034713.8	ENSG00000034713	ENST00000037243.7	protein_coding	108	0	0	0	0	0	0	0	0				0.759259259259259	512	7	1	2	0.34765625
MYOC	ENSG00000034971.17	ENSG00000034971	ENST00000037502.11	protein_coding	77	0	0	0	0	0	0	0	0				0.61038961038961	508	11	2	3	0.415354330708661
NSMAF	ENSG00000035681.9	ENSG00000035681	ENST00000038176.8	protein_coding	222	1	1	0	0	0	0	0	2	28	182	28	0.810810810810811	598	12	2	3	0.3561872909699
OTC	ENSG00000036473.8	ENSG00000036473	ENST00000039007.5	protein_coding	93	0	0	0	0	0	0	0	0				0.419354838709677	364	11	2	3	0.313186813186813
TTC17	ENSG00000052841.15	ENSG00000052841	ENST00000039989.9	protein_coding	35	0	0	0	0	0	0	0	0				0.8	1027	19	3	2	0.399221032132425
HOXC8	ENSG00000037965.6	ENSG00000037965	ENST00000040584.6	protein_coding	300	1	0	1	0	1	2	1	0				0.76	1388	19	4	2	0.412824207492795
MRI1	ENSG00000037757.14	ENSG00000037757	ENST00000040663.8	protein_coding	67	0	0	0	0	0	0	0	0				0.716417910447761	2001	28	5	3	0.464267866066967
BOD1L1	ENSG00000038219.13	ENSG00000038219	ENST00000040738.10	protein_coding	138	0	0	0	0	0	0	0	0				0.695652173913044	1273	31	6	2	0.329143754909662
TARBP1	ENSG00000059588.10	ENSG00000059588	ENST00000040877.2	protein_coding	76	0	0	0	0	0	0	0	0				0.763157894736842	264	3	2	2	0.265151515151515
RIPOR1	ENSG00000039523.20	ENSG00000039523	ENST00000042381.9	protein_coding	109	1	0	1	0	1	2	3	0				0.761467889908257	323	3	2	2	0.520123839009288
RTN4R	ENSG00000040608.14	ENSG00000040608	ENST00000043402.8	protein_coding	226	1	0	1	0	1	2	1	0				0.836283185840708	296	3	1	2	0.587837837837838
PSMA4	ENSG00000041357.16	ENSG00000041357	ENST00000044462.12	protein_coding	119	0	0	0	0	0	0	0	0				0.46218487394958	3473	53	10	3	0.421537575583069
ZPBP	ENSG00000042813.8	ENSG00000042813	ENST00000046087.7	protein_coding	52	0	0	0	0	0	0	0	0				0.730769230769231	87	2	1	1	0.206896551724138
CTNS	ENSG00000040531.16	ENSG00000040531	ENST00000046640.9	protein_coding	301	1	1	0	0	0	0	0	1	29	92	29	0.604651162790698	2734	18	3	3	0.557425018288222
LCP2	ENSG00000043462.13	ENSG00000043462	ENST00000046794.10	protein_coding	166	2	1	0	0	0	1	1	2	114	22	114	0.590361445783133	2464	42	8	3	0.377029220779221
DCN	ENSG00000011465.18	ENSG00000011465	ENST00000052754.10	protein_coding	196	2	2	0	0	0	0	0	3	9	178;3	9;184	0.443877551020408	5574	120	20	3	0.363293864370291
TNFRSF17	ENSG00000048462.11	ENSG00000048462	ENST00000053243.6	protein_coding	115	0	0	0	0	0	0	0	0				0.4	221	6	1	2	0.352941176470588
MRPS10	ENSG00000048544.6	ENSG00000048544	ENST00000053468.4	protein_coding	12	0	0	0	0	0	0	0	0				0.75	1482	27	3	3	0.411605937921727
GRN	ENSG00000030582.18	ENSG00000030582	ENST00000053867.8	protein_coding	40	0	0	0	0	0	0	0	0				0.725	308	1	1	3	0.568181818181818
THAP3	ENSG00000041988.16	ENSG00000041988	ENST00000054650.9	protein_coding	156	2	1	1	0	1	2	2	2	26	94	26	0.653846153846154	485	6	1	2	0.595876288659794
VAMP3	ENSG00000049245.13	ENSG00000049245	ENST00000054666.11	protein_coding	88	0	0	0	0	0	0	0	0				0.681818181818182	1787	33	7	3	0.401790710688304
RCN1	ENSG00000049449.10	ENSG00000049449	ENST00000054950.4	protein_coding	123	0	0	0	0	0	0	0	0				0.739837398373984	1250	27	4	3	0.364
RFC2	ENSG00000049541.11	ENSG00000049541	ENST00000055077.8	protein_coding	16	0	0	0	0	0	0	0	0				0.625	604	6	1	3	0.531456953642384
PPP1R3F	ENSG00000049769.14	ENSG00000049769	ENST00000055335.11	protein_coding	77	0	0	0	0	0	0	0	0				0.818181818181818	1000	19	3	3	0.481
NEXMIF	ENSG00000050030.16	ENSG00000050030	ENST00000055682.12	protein_coding	617	2	2	0	0	0	0	0	2	392	183;12	392;593	0.66612641815235	6549	126	24	3	0.356237593525729
ARHGEF5	ENSG00000050327.15	ENSG00000050327	ENST00000056217.10	protein_coding	112	1	1	0	0	0	0	0	2	84	22	84	0.758928571428571	576	8	7	3	0.5
NFE2L3	ENSG00000050344.9	ENSG00000050344	ENST00000056233.4	protein_coding	301	0	0	0	0	0	0	0	0				0.777408637873754	1354	24	3	3	0.350812407680945
TNIP3	ENSG00000050730.16	ENSG00000050730	ENST00000057513.8	protein_coding	196	3	3	0	0	0	0	0	2	43	120;115;95	43;72;86	0.336734693877551	1223	27	5	3	0.414554374488962
SIKE1	ENSG00000052723.12	ENSG00000052723	ENST00000060969.6	protein_coding	78	1	1	0	0	0	0	0	1	1	35	1	0.628205128205128	4792	90	12	3	0.342028380634391
TLL1	ENSG00000038295.8	ENSG00000038295	ENST00000061240.7	protein_coding	668	4	1	0	0	0	3	1	2	94	520	94	0.67814371257485	3581	84	12	3	0.325328120636694
