gene_symbol	ensgid_version	ensgid	enstid_version	biotype	u5_len	u5_AUG	u5_ORF	u5_max_kozak	u5_GC	u3_len	u3_AUG	u3_ORF	u3_max_kozak	u3_GC	u5_oORF	u3_oORF
CPA1	ENSG00000091704.10	ENSG00000091704	ENST00000011292.8	protein_coding	27	0	0		0.666666666666667	97	0	0		0.525773195876289	1	0
RANBP9	ENSG00000010017.13	ENSG00000010017	ENST00000011619.6	protein_coding	330	0	0		0.8	864	20	15	1	0.336805555555556	0	17
CD4	ENSG00000010610.10	ENSG00000010610	ENST00000011653.9	protein_coding	202	0	0		0.589108910891089	1470	19	16	1	0.542857142857143	0	4
SS18L2	ENSG00000008324.12	ENSG00000008324	ENST00000011691.6	protein_coding	38	0	0		0.657894736842105	2425	40	37	1	0.371546391752577	1	7
TSPAN9	ENSG00000011105.14	ENSG00000011105	ENST00000011898.10	protein_coding	159	0	0		0.60377358490566	3443	31	28	2	0.581760092942202	1	0
QPCTL	ENSG00000011478.13	ENSG00000011478	ENST00000012049.10	protein_coding	38	0	0		0.578947368421053	938	6	4	1	0.510660980810235	0	0
PPP5C	ENSG00000011485.15	ENSG00000011485	ENST00000012443.9	protein_coding	10	0	0		0.7	629	6	2	2	0.640699523052464	0	7
UBR7	ENSG00000012963.15	ENSG00000012963	ENST00000013070.11	protein_coding	36	0	0		0.722222222222222	2180	46	39	2	0.43256880733945	3	8
INMT	ENSG00000241644.2	ENSG00000241644	ENST00000013222.5	protein_coding	16	0	0		0.5	1751	27	20	1	0.483152484294689	1	4
GPRC5A	ENSG00000013588.9	ENSG00000013588	ENST00000014914.6	protein_coding	110	0	0		0.645454545454546	5398	72	65	1	0.478140051871063	0	1
HEBP1	ENSG00000013583.10	ENSG00000013583	ENST00000014930.9	protein_coding	151	0	0		0.788079470198676	438	4	1	1	0.392694063926941	0	1
COX15	ENSG00000014919.13	ENSG00000014919	ENST00000016171.6	protein_coding	78	0	0		0.576923076923077	3719	84	79	2	0.397687550416779	1	6
MS4A12	ENSG00000071203.9	ENSG00000071203	ENST00000016913.8	protein_coding	57	0	0		0.43859649122807	306	9	5	2	0.330065359477124	6	12
RGPD5	ENSG00000015568.13	ENSG00000015568	ENST00000016946.8	protein_coding	161	0	0		0.714285714285714	1809	40	28	2	0.352681039248203	10	28
XYLT2	ENSG00000015532.10	ENSG00000015532	ENST00000017003.7	protein_coding	15	0	0		0.733333333333333	894	10	6	2	0.551454138702461	7	7
SCTR	ENSG00000080293.10	ENSG00000080293	ENST00000019103.8	protein_coding	257	2	1	2	0.785992217898833	274	4	0		0.583941605839416	0	0
PSD	ENSG00000059915.17	ENSG00000059915	ENST00000020673.6	protein_coding	168	1	0		0.702380952380952	581	7	3	1	0.640275387263339	8	15
SYT13	ENSG00000019505.8	ENSG00000019505	ENST00000020926.8	protein_coding	134	0	0		0.805970149253731	3750	68	63	1	0.425066666666667	0	4
SNAI2	ENSG00000019549.13	ENSG00000019549	ENST00000020945.4	protein_coding	164	1	1	2	0.737804878048781	1209	32	32	1	0.314309346567411	0	4
VDAC3	ENSG00000078668.14	ENSG00000078668	ENST00000022615.9	protein_coding	91	0	0		0.538461538461538	475	11	8	2	0.412631578947368	0	2
SLC7A9	ENSG00000021488.13	ENSG00000021488	ENST00000023064.9	protein_coding	193	0	0		0.626943005181347	109	1	0		0.302752293577982	0	0
RB1CC1	ENSG00000023287.13	ENSG00000023287	ENST00000025008.10	protein_coding	527	3	2	2	0.620493358633776	1324	30	27	2	0.290785498489426	0	47
AKAP11	ENSG00000023516.9	ENSG00000023516	ENST00000025301.4	protein_coding	176	1	0		0.465909090909091	4033	58	56	2	0.330275229357798	4	37
CDH17	ENSG00000079112.10	ENSG00000079112	ENST00000027335.8	protein_coding	93	1	0		0.365591397849462	1078	18	14	2	0.391465677179963	0	6
B4GALT7	ENSG00000027847.14	ENSG00000027847	ENST00000029410.10	protein_coding	79	1	0		0.848101265822785	635	9	5	2	0.566929133858268	1	0
GABARAPL2	ENSG00000034713.8	ENSG00000034713	ENST00000037243.7	protein_coding	108	0	0		0.759259259259259	512	7	4	1	0.34765625	1	7
MYOC	ENSG00000034971.17	ENSG00000034971	ENST00000037502.11	protein_coding	77	0	0		0.61038961038961	508	11	7	3	0.415354330708661	0	12
NSMAF	ENSG00000035681.9	ENSG00000035681	ENST00000038176.8	protein_coding	222	1	0		0.810810810810811	598	12	12	1	0.3561872909699	2	26
OTC	ENSG00000036473.8	ENSG00000036473	ENST00000039007.5	protein_coding	93	0	0		0.419354838709677	364	11	3	3	0.313186813186813	0	0
TTC17	ENSG00000052841.15	ENSG00000052841	ENST00000039989.9	protein_coding	35	0	0		0.8	1027	19	12	1	0.399221032132425	1	22
HOXC8	ENSG00000037965.6	ENSG00000037965	ENST00000040584.6	protein_coding	300	1	0		0.76	1388	19	15	2	0.412824207492795	1	5
MRI1	ENSG00000037757.14	ENSG00000037757	ENST00000040663.8	protein_coding	67	0	0		0.716417910447761	2001	28	28	2	0.464267866066967	0	2
BOD1L1	ENSG00000038219.13	ENSG00000038219	ENST00000040738.10	protein_coding	138	0	0		0.695652173913044	1273	31	18	2	0.329143754909662	2	50
TARBP1	ENSG00000059588.10	ENSG00000059588	ENST00000040877.2	protein_coding	76	0	0		0.763157894736842	264	3	0		0.265151515151515	0	1
RIPOR1	ENSG00000039523.20	ENSG00000039523	ENST00000042381.9	protein_coding	109	1	0		0.761467889908257	323	3	1	2	0.520123839009288	3	3
RTN4R	ENSG00000040608.14	ENSG00000040608	ENST00000043402.8	protein_coding	226	1	0		0.836283185840708	296	3	1	2	0.587837837837838	0	4
PSMA4	ENSG00000041357.16	ENSG00000041357	ENST00000044462.12	protein_coding	119	0	0		0.46218487394958	3473	53	49	2	0.421537575583069	0	9
ZPBP	ENSG00000042813.8	ENSG00000042813	ENST00000046087.7	protein_coding	52	0	0		0.730769230769231	87	2	0		0.206896551724138	3	0
CTNS	ENSG00000040531.16	ENSG00000040531	ENST00000046640.9	protein_coding	301	1	0		0.604651162790698	2734	18	17	3	0.557425018288222	0	1
LCP2	ENSG00000043462.13	ENSG00000043462	ENST00000046794.10	protein_coding	166	2	0		0.590361445783133	2464	42	35	1	0.377029220779221	6	13
DCN	ENSG00000011465.18	ENSG00000011465	ENST00000052754.10	protein_coding	196	2	1	3	0.443877551020408	5574	120	115	1	0.363293864370291	1	1
TNFRSF17	ENSG00000048462.11	ENSG00000048462	ENST00000053243.6	protein_coding	115	0	0		0.4	221	6	2	2	0.352941176470588	0	5
MRPS10	ENSG00000048544.6	ENSG00000048544	ENST00000053468.4	protein_coding	12	0	0		0.75	1482	27	20	2	0.411605937921727	1	5
GRN	ENSG00000030582.18	ENSG00000030582	ENST00000053867.8	protein_coding	40	0	0		0.725	308	1	0		0.568181818181818	2	1
VAMP3	ENSG00000049245.13	ENSG00000049245	ENST00000054666.11	protein_coding	88	0	0		0.681818181818182	1787	33	32	1	0.401790710688304	0	3
RCN1	ENSG00000049449.10	ENSG00000049449	ENST00000054950.4	protein_coding	123	0	0		0.739837398373984	1250	27	20	3	0.364	0	0
RFC2	ENSG00000049541.11	ENSG00000049541	ENST00000055077.8	protein_coding	16	0	0		0.625	604	6	4	2	0.531456953642384	0	2
PPP1R3F	ENSG00000049769.14	ENSG00000049769	ENST00000055335.11	protein_coding	77	0	0		0.818181818181818	1000	19	12	3	0.481	0	9
NEXMIF	ENSG00000050030.16	ENSG00000050030	ENST00000055682.12	protein_coding	617	2	1	2	0.66612641815235	6549	126	122	2	0.356237593525729	0	43
ARHGEF5	ENSG00000050327.15	ENSG00000050327	ENST00000056217.10	protein_coding	112	1	0		0.758928571428571	576	8	3	2	0.5	1	27
NFE2L3	ENSG00000050344.9	ENSG00000050344	ENST00000056233.4	protein_coding	301	0	0		0.777408637873754	1354	24	23	3	0.350812407680945	0	5
TNIP3	ENSG00000050730.16	ENSG00000050730	ENST00000057513.8	protein_coding	196	3	0		0.336734693877551	1223	27	20	2	0.414554374488962	0	7
SIKE1	ENSG00000052723.12	ENSG00000052723	ENST00000060969.6	protein_coding	78	1	1	1	0.628205128205128	4792	90	89	1	0.342028380634391	0	11
TLL1	ENSG00000038295.8	ENSG00000038295	ENST00000061240.7	protein_coding	668	4	4	2	0.67814371257485	3581	84	80	2	0.325328120636694	0	18
CBLN4	ENSG00000054803.4	ENSG00000054803	ENST00000064571.3	protein_coding	1348	6	6	2	0.652818991097923	1200	22	19	1	0.3075	0	3
CLDN11	ENSG00000013297.12	ENSG00000013297	ENST00000064724.8	protein_coding	199	0	0		0.753768844221106	1935	30	30	1	0.383462532299742	1	8
RELT	ENSG00000054967.13	ENSG00000054967	ENST00000064780.7	protein_coding	126	0	0		0.793650793650794	1983	22	19	3	0.553706505295008	0	2
CDC27	ENSG00000004897.12	ENSG00000004897	ENST00000066544.8	protein_coding	123	1	0		0.691056910569106	3232	61	57	1	0.332920792079208	2	23
YIPF1	ENSG00000058799.15	ENSG00000058799	ENST00000072644.7	protein_coding	354	1	1	2	0.564971751412429	546	19	17	3	0.456043956043956	0	0
ADCK2	ENSG00000133597.11	ENSG00000133597	ENST00000072869.9	protein_coding	386	1	0		0.795336787564767	307	5	0		0.511400651465798	0	10
SLC2A3	ENSG00000059804.16	ENSG00000059804	ENST00000075120.12	protein_coding	153	2	1	3	0.418300653594771	2183	44	35	3	0.42647732478241	0	8
ENPP2	ENSG00000136960.13	ENSG00000136960	ENST00000075322.11	protein_coding	59	0	0		0.508474576271186	435	8	6	2	0.314942528735632	3	14
STYK1	ENSG00000060140.9	ENSG00000060140	ENST00000075503.8	protein_coding	281	3	2	3	0.512455516014235	1221	31	22	1	0.375921375921376	0	6
GNA11	ENSG00000088256.9	ENSG00000088256	ENST00000078429.9	protein_coding	290	0	0		0.879310344827586	2820	23	8	3	0.614184397163121	1	0
CREB3L3	ENSG00000060566.14	ENSG00000060566	ENST00000078445.7	protein_coding	117	1	0		0.666666666666667	1085	6	5	2	0.574193548387097	1	3
HDAC7	ENSG00000061273.18	ENSG00000061273	ENST00000080059.12	protein_coding	118	2	0		0.771186440677966	1119	15	6	2	0.571045576407507	1	20
MRPS35	ENSG00000061794.13	ENSG00000061794	ENST00000081029.8	protein_coding	12	0	0		0.75	845	18	14	3	0.358579881656805	0	7
APPBP2	ENSG00000062725.10	ENSG00000062725	ENST00000083182.8	protein_coding	311	0	0		0.70096463022508	4423	96	94	2	0.356319240334615	0	10
CA11	ENSG00000063180.9	ENSG00000063180	ENST00000084798.9	protein_coding	555	3	3	2	0.596396396396396	173	0	0		0.502890173410405	0	0
CD22	ENSG00000012124.17	ENSG00000012124	ENST00000085219.10	protein_coding	66	1	0		0.606060606060606	664	8	3	2	0.569277108433735	0	13
GSC2	ENSG00000063515.3	ENSG00000063515	ENST00000086933.3	protein_coding	9	0	0		1	1998	15	14	2	0.585085085085085	1	1
ZFY	ENSG00000067646.12	ENSG00000067646	ENST00000155093.8	protein_coding	417	2	0		0.688249400479616	2513	46	39	2	0.285714285714286	2	22
KCNQ1	ENSG00000053918.18	ENSG00000053918	ENST00000155840.12	protein_coding	91	0	0		0.802197802197802	1102	13	4	3	0.609800362976407	0	1
TRIB2	ENSG00000071575.12	ENSG00000071575	ENST00000155926.9	protein_coding	1372	3	1	2	0.610787172011662	1940	41	30	1	0.413917525773196	1	1
GPKOW	ENSG00000068394.11	ENSG00000068394	ENST00000156109.7	protein_coding	13	0	0		0.461538461538462	214	3	3	2	0.457943925233645	1	11
AQR	ENSG00000021776.11	ENSG00000021776	ENST00000156471.10	protein_coding	129	0	0		0.627906976744186	5010	103	99	3	0.379840319361277	2	36
ST6GALNAC1	ENSG00000070526.15	ENSG00000070526	ENST00000156626.12	protein_coding	119	1	0		0.563025210084034	567	9	6	3	0.419753086419753	0	14
LMCD1	ENSG00000071282.12	ENSG00000071282	ENST00000157600.8	protein_coding	116	0	0		0.71551724137931	7070	142	137	1	0.422347949080622	1	0
PSMC4	ENSG00000013275.8	ENSG00000013275	ENST00000157812.7	protein_coding	38	0	0		0.605263157894737	459	9	7	1	0.464052287581699	3	4
FNDC8	ENSG00000073598.6	ENSG00000073598	ENST00000158009.6	protein_coding	79	1	0		0.556962025316456	298	3	1	2	0.630872483221476	0	0
ACAP1	ENSG00000072818.12	ENSG00000072818	ENST00000158762.8	protein_coding	206	0	0		0.66504854368932	82	0	0		0.731707317073171	0	0
DERL2	ENSG00000072849.11	ENSG00000072849	ENST00000158771.9	protein_coding	17	0	0		0.705882352941177	3430	64	62	2	0.376967930029155	1	8
NOX3	ENSG00000074771.4	ENSG00000074771	ENST00000159060.3	protein_coding	39	0	0		0.435897435897436	234	3	0		0.341880341880342	1	5
ANO8	ENSG00000074855.11	ENSG00000074855	ENST00000159087.7	protein_coding	185	1	0		0.772972972972973	294	4	0		0.445578231292517	10	19
KDM4B	ENSG00000127663.15	ENSG00000127663	ENST00000159111.9	protein_coding	226	0	0		0.699115044247788	2087	18	12	3	0.564446574029708	9	12
ICAM3	ENSG00000076662.10	ENSG00000076662	ENST00000160262.10	protein_coding	10	0	0		0.5	81	0	0		0.567901234567901	0	0
CAMSAP3	ENSG00000076826.10	ENSG00000076826	ENST00000160298.9	protein_coding	140	0	0		0.857142857142857	247	0	0		0.615384615384615	6	16
CTTNBP2	ENSG00000077063.11	ENSG00000077063	ENST00000160373.8	protein_coding	26	0	0		0.576923076923077	886	24	19	2	0.27313769751693	17	27
ACTL6B	ENSG00000077080.10	ENSG00000077080	ENST00000160382.10	protein_coding	94	0	0		0.776595744680851	149	5	0		0.469798657718121	1	1
KIF22	ENSG00000079616.13	ENSG00000079616	ENST00000160827.9	protein_coding	9	0	0		0.666666666666667	74	0	0		0.445945945945946	1	1
PRSS22	ENSG00000005001.10	ENSG00000005001	ENST00000161006.8	protein_coding	66	0	0		0.727272727272727	363	3	0		0.59504132231405	0	3
CEACAM1	ENSG00000079385.23	ENSG00000079385	ENST00000161559.11	protein_coding	107	0	0		0.598130841121495	1803	27	20	1	0.425402107598447	0	8
YTHDC2	ENSG00000047188.16	ENSG00000047188	ENST00000161863.9	protein_coding	202	1	0		0.628712871287129	1810	39	31	2	0.325966850828729	0	40
TMEM161A	ENSG00000064545.15	ENSG00000064545	ENST00000162044.14	protein_coding	50	0	0		0.74	761	9	6	2	0.599211563731932	3	0
BCAR1	ENSG00000050820.17	ENSG00000050820	ENST00000162330.10	protein_coding	142	0	0		0.845070422535211	1330	16	9	1	0.616541353383459	8	4
FOXJ2	ENSG00000065970.9	ENSG00000065970	ENST00000162391.8	protein_coding	1132	1	0		0.645759717314488	2667	45	38	2	0.421072365954256	1	14
TNFRSF1A	ENSG00000067182.8	ENSG00000067182	ENST00000162749.7	protein_coding	262	2	1	1	0.587786259541985	541	6	3	2	0.545286506469501	1	1
GOLGA5	ENSG00000066455.13	ENSG00000066455	ENST00000163416.7	protein_coding	182	0	0		0.692307692307692	501	7	2	2	0.30938123752495	0	15
CELSR3	ENSG00000008300.17	ENSG00000008300	ENST00000164024.5	protein_coding	252	2	1	2	0.813492063492063	1742	23	23	2	0.527554535017222	12	1
PPP2R5B	ENSG00000068971.14	ENSG00000068971	ENST00000164133.7	protein_coding	604	3	3	1	0.708609271523179	631	6	3	3	0.58161648177496	0	5
PYGM	ENSG00000068976.14	ENSG00000068976	ENST00000164139.4	protein_coding	76	0	0		0.697368421052632	261	3	1	1	0.578544061302682	0	3
BCL3	ENSG00000069399.15	ENSG00000069399	ENST00000164227.10	protein_coding	83	0	0		0.807228915662651	429	7	0		0.557109557109557	3	1
PIGB	ENSG00000069943.10	ENSG00000069943	ENST00000164305.10	protein_coding	29	0	0		0.689655172413793	216	6	4	1	0.310185185185185	1	17
PRLH	ENSG00000071677.1	ENSG00000071677	ENST00000165524.1	protein_coding	0	0	1			0	0	1			1	1
FSTL3	ENSG00000070404.10	ENSG00000070404	ENST00000166139.9	protein_coding	32	0	0		0.6875	1677	18	5	1	0.612403100775194	1	5
EPHA8	ENSG00000070886.12	ENSG00000070886	ENST00000166244.8	protein_coding	147	0	0		0.843537414965986	1854	29	24	2	0.606796116504854	1	36
TRIP13	ENSG00000071539.14	ENSG00000071539	ENST00000166345.8	protein_coding	115	0	0		0.773913043478261	1017	23	20	2	0.368731563421829	0	2
VASH1	ENSG00000071246.11	ENSG00000071246	ENST00000167106.9	protein_coding	1354	6	4	1	0.686115214180207	3997	71	69	1	0.565674255691769	1	1
KRT14	ENSG00000186847.6	ENSG00000186847	ENST00000167586.7	protein_coding	61	0	0		0.622950819672131	156	0	0		0.596153846153846	1	0
KRT20	ENSG00000171431.4	ENSG00000171431	ENST00000167588.4	protein_coding	57	0	0		0.56140350877193	472	6	4	2	0.364406779661017	4	4
SPP2	ENSG00000072080.11	ENSG00000072080	ENST00000168148.8	protein_coding	85	0	0		0.423529411764706	300	6	0		0.443333333333333	0	3
HSD17B10	ENSG00000072506.14	ENSG00000072506	ENST00000168216.11	protein_coding	25	0	0		0.68	143	0	0		0.517482517482518	1	6
FGF4	ENSG00000075388.4	ENSG00000075388	ENST00000168712.3	protein_coding	257	1	1	1	0.77431906614786	2287	46	40	1	0.423699169217315	0	4
ST6GAL1	ENSG00000073849.16	ENSG00000073849	ENST00000169298.8	protein_coding	633	6	2	3	0.619273301737757	2750	52	42	1	0.474181818181818	4	5
TIMM21	ENSG00000075336.12	ENSG00000075336	ENST00000169551.11	protein_coding	286	6	5	3	0.468531468531469	2051	44	41	2	0.395904436860068	1	1
BPIFB2	ENSG00000078898.7	ENSG00000078898	ENST00000170150.4	protein_coding	91	0	0		0.67032967032967	320	0	0		0.5625	0	4
REXO1	ENSG00000079313.15	ENSG00000079313	ENST00000170168.9	protein_coding	125	1	0		0.864	818	6	2	2	0.654034229828851	1	15
MKRN2	ENSG00000075975.17	ENSG00000075975	ENST00000170447.12	protein_coding	64	0	0		0.765625	1460	12	11	2	0.4	0	6
GPATCH1	ENSG00000076650.7	ENSG00000076650	ENST00000170564.7	protein_coding	13	0	0		0.692307692307692	382	5	2	1	0.37696335078534	2	4
KEAP1	ENSG00000079999.14	ENSG00000079999	ENST00000171111.10	protein_coding	163	0	0		0.699386503067485	527	11	3	2	0.519924098671727	5	0
P2RY10	ENSG00000078589.13	ENSG00000078589	ENST00000171757.3	protein_coding	310	8	5	1	0.432258064516129	2187	40	35	3	0.340649291266575	3	1
NGFR	ENSG00000064300.9	ENSG00000064300	ENST00000172229.8	protein_coding	125	0	0		0.776	1999	29	25	1	0.594297148574287	0	1
NTN1	ENSG00000065320.9	ENSG00000065320	ENST00000173229.7	protein_coding	139	0	0		0.776978417266187	4032	49	42	2	0.60515873015873	3	4
ISOC1	ENSG00000066583.12	ENSG00000066583	ENST00000173527.6	protein_coding	18	0	0		0.722222222222222	1027	26	20	2	0.330087633885102	0	7
TRO	ENSG00000067445.21	ENSG00000067445	ENST00000173898.12	protein_coding	99	0	0		0.565656565656566	239	6	1	1	0.397489539748954	0	21
MNT	ENSG00000070444.15	ENSG00000070444	ENST00000174618.5	protein_coding	348	0	0		0.620689655172414	2828	28	25	2	0.584158415841584	0	5
LAPTM4A	ENSG00000068697.7	ENSG00000068697	ENST00000175091.5	protein_coding	108	0	0		0.611111111111111	555	8	5	1	0.32972972972973	0	10
ADAM7	ENSG00000069206.15	ENSG00000069206	ENST00000175238.10	protein_coding	83	0	0		0.481927710843373	1019	21	10	3	0.365063788027478	11	23
PTPN18	ENSG00000072135.13	ENSG00000072135	ENST00000175756.10	protein_coding	52	0	0		0.846153846153846	2181	36	32	1	0.537826685006878	0	1
DRD4	ENSG00000069696.7	ENSG00000069696	ENST00000176183.6	protein_coding	36	0	0		0.833333333333333	103	2	0		0.611650485436893	1	1
SCT	ENSG00000070031.4	ENSG00000070031	ENST00000176195.4	protein_coding	38	0	0		0.81578947368421	122	1	0		0.647540983606557	1	1
ALDH3A2	ENSG00000072210.19	ENSG00000072210	ENST00000176643.11	protein_coding	221	1	0		0.714932126696833	2024	31	25	2	0.421442687747036	1	3
STK10	ENSG00000072786.13	ENSG00000072786	ENST00000176763.10	protein_coding	182	0	0		0.769230769230769	2803	47	43	2	0.501605422761327	3	23
TBX21	ENSG00000073861.3	ENSG00000073861	ENST00000177694.2	protein_coding	219	0	0		0.776255707762557	756	12	4	1	0.473544973544974	1	7
CA12	ENSG00000074410.14	ENSG00000074410	ENST00000178638.8	protein_coding	126	0	0		0.785714285714286	4907	90	84	2	0.474424291828001	0	1
MAP2K5	ENSG00000137764.20	ENSG00000137764	ENST00000178640.10	protein_coding	633	1	0		0.666666666666667	364	6	0		0.576923076923077	1	1
TIGAR	ENSG00000078237.7	ENSG00000078237	ENST00000179259.6	protein_coding	59	0	0		0.813559322033898	7337	135	128	2	0.405479078642497	0	12
FGF20	ENSG00000078579.9	ENSG00000078579	ENST00000180166.6	protein_coding	313	0	0		0.536741214057508	891	20	19	3	0.308641975308642	0	4
MTMR7	ENSG00000003987.14	ENSG00000003987	ENST00000180173.10	protein_coding	59	0	0		0.796610169491525	3068	63	58	3	0.315840938722295	3	12
CPB2	ENSG00000080618.17	ENSG00000080618	ENST00000181383.10	protein_coding	24	0	0		0.416666666666667	428	2	1	1	0.343457943925234	1	2
