gene_symbol	ensgid_version	ensgid	enstid_version	biotype	u5_len	u5_AUG	u5_ORF	u5_oORF_all	u5_oORF_inframe	u5_oORF_outframe	u5_oORF_altered_cds	u5_oORF_kozak	u5_ORF_kozak	u5_GC	u3_len	u3_AUG	u3_ORF	u3_ORF_kozak	u3_GC
TMEM176A	ENSG00000002933.9	ENSG00000002933	ENST00000004103.8	protein_coding	75	0	0	0	0	0	0	0	0	0.72	250	5	3	2	0.544
HSPB6	ENSG00000004776.13	ENSG00000004776	ENST00000004982.6	protein_coding	21	0	0	0	0	0	0	0	0	0.666666666666667	956	4	4	3	0.583682008368201
PDK4	ENSG00000004799.8	ENSG00000004799	ENST00000005178.6	protein_coding	223	0	0	0	0	0	0	0	0	0.681614349775785	2142	48	46	3	0.340336134453782
CCL26	ENSG00000006606.9	ENSG00000006606	ENST00000005180.9	protein_coding	35	0	0	0	0	0	0	0	0	0.542857142857143	155	1	1	2	0.535483870967742
USH1C	ENSG00000006611.17	ENSG00000006611	ENST00000005226.12	protein_coding	109	0	0	0	0	0	0	0	0	0.73394495412844	432	1	1	2	0.520833333333333
RALA	ENSG00000006451.8	ENSG00000006451	ENST00000005257.7	protein_coding	291	0	0	0	0	0	0	0	0	0.676975945017182	1875	37	36	3	0.3648
BCAP29	ENSG00000075790.12	ENSG00000075790	ENST00000005259.9	protein_coding	70	0	0	0	0	0	0	0	0	0.742857142857143	2115	40	39	3	0.314420803782506
BAIAP2L1	ENSG00000006453.14	ENSG00000006453	ENST00000005260.9	protein_coding	238	0	0	0	0	0	0	0	0	0.760504201680672	1871	35	33	3	0.506680919294495
CACNG3	ENSG00000006116.4	ENSG00000006116	ENST00000005284.4	protein_coding	420	5	4	1	0	1	2	2	2	0.583333333333333	549	13	12	3	0.482695810564663
DVL2	ENSG00000004975.12	ENSG00000004975	ENST00000005340.10	protein_coding	255	0	0	0	0	0	0	0	0	0.737254901960784	523	4	4	2	0.504780114722753
RPAP3	ENSG00000005175.10	ENSG00000005175	ENST00000005386.8	protein_coding	85	0	0	0	0	0	0	0	0	0.705882352941177	2256	46	46	3	0.323581560283688
UPP2	ENSG00000007001.13	ENSG00000007001	ENST00000005756.5	protein_coding	188	2	2	0	0	0	0	0	2	0.297872340425532	1264	27	26	3	0.374208860759494
PRSS21	ENSG00000007038.11	ENSG00000007038	ENST00000005995.8	protein_coding	32	0	0	0	0	0	0	0	0	0.78125	114	2	0	0	0.517543859649123
HOXA11	ENSG00000005073.6	ENSG00000005073	ENST00000006015.4	protein_coding	88	1	1	0	0	0	0	0	2	0.534090909090909	1639	24	23	3	0.49359365466748
CX3CL1	ENSG00000006210.7	ENSG00000006210	ENST00000006053.7	protein_coding	79	0	0	0	0	0	0	0	0	0.721518987341772	2012	26	26	3	0.5720675944334
SPATA20	ENSG00000006282.21	ENSG00000006282	ENST00000006658.11	protein_coding	35	0	0	0	0	0	0	0	0	0.828571428571429	190	0	0	0	0.6
CD79B	ENSG00000007312.13	ENSG00000007312	ENST00000006750.8	protein_coding	70	0	0	0	0	0	0	0	0	0.6	486	8	5	3	0.637860082304527
RHBDD2	ENSG00000005486.17	ENSG00000005486	ENST00000006777.11	protein_coding	49	0	0	0	0	0	0	0	0	0.816326530612245	577	9	5	3	0.558058925476603
RPUSD1	ENSG00000007376.8	ENSG00000007376	ENST00000007264.7	protein_coding	133	0	0	0	0	0	0	0	0	0.804511278195489	976	9	7	3	0.659836065573771
TSR3	ENSG00000007520.4	ENSG00000007520	ENST00000007390.3	protein_coding	74	0	0	0	0	0	0	0	0	0.797297297297297	197	3	2	2	0.563451776649746
OSBPL7	ENSG00000006025.12	ENSG00000006025	ENST00000007414.8	protein_coding	216	1	1	0	0	0	0	0	2	0.657407407407407	919	10	8	3	0.613710554951034
NDUFAB1	ENSG00000004779.10	ENSG00000004779	ENST00000007516.8	protein_coding	26	0	0	0	0	0	0	0	0	0.653846153846154	168	4	4	2	0.380952380952381
YBX2	ENSG00000006047.13	ENSG00000006047	ENST00000007699.10	protein_coding	139	0	0	0	0	0	0	0	0	0.81294964028777	420	4	3	2	0.492857142857143
KRT33A	ENSG00000006059.4	ENSG00000006059	ENST00000007735.4	protein_coding	61	0	0	0	0	0	0	0	0	0.557377049180328	27	0	0	0	0.555555555555556
TFAP2D	ENSG00000008197.5	ENSG00000008197	ENST00000008391.4	protein_coding	530	5	5	0	0	0	0	0	3	0.381132075471698	169	3	0	0	0.337278106508876
CRY1	ENSG00000008405.12	ENSG00000008405	ENST00000008527.10	protein_coding	588	2	2	0	0	0	0	0	2	0.680272108843537	638	17	16	2	0.280564263322884
PGLYRP1	ENSG00000008438.5	ENSG00000008438	ENST00000008938.5	protein_coding	32	0	0	0	0	0	0	0	0	0.75	85	2	1	2	0.541176470588235
STARD3NL	ENSG00000010270.14	ENSG00000010270	ENST00000009041.12	protein_coding	234	1	0	1	0	1	2	3	0	0.713675213675214	764	23	23	3	0.335078534031414
CD9	ENSG00000010278.15	ENSG00000010278	ENST00000009180.10	protein_coding	100	0	0	0	0	0	0	0	0	0.71	438	7	5	2	0.296803652968037
RPS20	ENSG00000008988.11	ENSG00000008988	ENST00000009589.8	protein_coding	123	0	0	0	0	0	0	0	0	0.609756097560976	36	1	1	1	0.25
CPA1	ENSG00000091704.10	ENSG00000091704	ENST00000011292.8	protein_coding	27	0	0	0	0	0	0	0	0	0.666666666666667	97	0	0	0	0.525773195876289
RANBP9	ENSG00000010017.13	ENSG00000010017	ENST00000011619.6	protein_coding	330	0	0	0	0	0	0	0	0	0.8	864	20	20	3	0.336805555555556
CD4	ENSG00000010610.10	ENSG00000010610	ENST00000011653.9	protein_coding	202	0	0	0	0	0	0	0	0	0.589108910891089	1470	19	19	3	0.542857142857143
SS18L2	ENSG00000008324.12	ENSG00000008324	ENST00000011691.6	protein_coding	38	0	0	0	0	0	0	0	0	0.657894736842105	2425	40	40	3	0.371546391752577
TSPAN9	ENSG00000011105.14	ENSG00000011105	ENST00000011898.10	protein_coding	159	0	0	0	0	0	0	0	0	0.60377358490566	3443	31	31	3	0.581760092942202
QPCTL	ENSG00000011478.13	ENSG00000011478	ENST00000012049.10	protein_coding	38	0	0	0	0	0	0	0	0	0.578947368421053	938	6	6	3	0.510660980810235
PPP5C	ENSG00000011485.15	ENSG00000011485	ENST00000012443.9	protein_coding	10	0	0	0	0	0	0	0	0	0.7	629	6	4	2	0.640699523052464
UBR7	ENSG00000012963.15	ENSG00000012963	ENST00000013070.11	protein_coding	36	0	0	0	0	0	0	0	0	0.722222222222222	2180	46	46	3	0.43256880733945
INMT	ENSG00000241644.2	ENSG00000241644	ENST00000013222.5	protein_coding	16	0	0	0	0	0	0	0	0	0.5	1751	27	27	3	0.483152484294689
GPRC5A	ENSG00000013588.9	ENSG00000013588	ENST00000014914.6	protein_coding	110	0	0	0	0	0	0	0	0	0.645454545454546	5398	72	72	3	0.478140051871063
HEBP1	ENSG00000013583.10	ENSG00000013583	ENST00000014930.9	protein_coding	151	0	0	0	0	0	0	0	0	0.788079470198676	438	4	4	2	0.392694063926941
COX15	ENSG00000014919.13	ENSG00000014919	ENST00000016171.6	protein_coding	78	0	0	0	0	0	0	0	0	0.576923076923077	3719	84	82	3	0.397687550416779
MS4A12	ENSG00000071203.9	ENSG00000071203	ENST00000016913.8	protein_coding	57	0	0	0	0	0	0	0	0	0.43859649122807	306	9	8	3	0.330065359477124
RGPD5	ENSG00000015568.13	ENSG00000015568	ENST00000016946.8	protein_coding	161	0	0	0	0	0	0	0	0	0.714285714285714	1809	40	35	3	0.352681039248203
XYLT2	ENSG00000015532.10	ENSG00000015532	ENST00000017003.7	protein_coding	15	0	0	0	0	0	0	0	0	0.733333333333333	894	10	9	3	0.551454138702461
SCTR	ENSG00000080293.10	ENSG00000080293	ENST00000019103.8	protein_coding	257	2	2	0	0	0	0	0	3	0.785992217898833	274	4	2	2	0.583941605839416
PSD	ENSG00000059915.17	ENSG00000059915	ENST00000020673.6	protein_coding	168	1	1	0	0	0	0	0	2	0.702380952380952	581	7	6	3	0.640275387263339
SYT13	ENSG00000019505.8	ENSG00000019505	ENST00000020926.8	protein_coding	134	0	0	0	0	0	0	0	0	0.805970149253731	3750	68	66	3	0.425066666666667
SNAI2	ENSG00000019549.13	ENSG00000019549	ENST00000020945.4	protein_coding	164	1	1	0	0	0	0	0	2	0.737804878048781	1209	32	32	3	0.314309346567411
VDAC3	ENSG00000078668.14	ENSG00000078668	ENST00000022615.9	protein_coding	91	0	0	0	0	0	0	0	0	0.538461538461538	475	11	11	3	0.412631578947368
SLC7A9	ENSG00000021488.13	ENSG00000021488	ENST00000023064.9	protein_coding	193	0	0	0	0	0	0	0	0	0.626943005181347	109	1	0	0	0.302752293577982
RB1CC1	ENSG00000023287.13	ENSG00000023287	ENST00000025008.10	protein_coding	527	3	3	0	0	0	0	0	3	0.620493358633776	1324	30	29	3	0.290785498489426
AKAP11	ENSG00000023516.9	ENSG00000023516	ENST00000025301.4	protein_coding	176	1	1	0	0	0	0	0	2	0.465909090909091	4033	58	58	3	0.330275229357798
CDH17	ENSG00000079112.10	ENSG00000079112	ENST00000027335.8	protein_coding	93	1	1	0	0	0	0	0	2	0.365591397849462	1078	18	17	2	0.391465677179963
B4GALT7	ENSG00000027847.14	ENSG00000027847	ENST00000029410.10	protein_coding	79	1	0	1	0	1	2	1	0	0.848101265822785	635	9	8	2	0.566929133858268
GABARAPL2	ENSG00000034713.8	ENSG00000034713	ENST00000037243.7	protein_coding	108	0	0	0	0	0	0	0	0	0.759259259259259	512	7	7	2	0.34765625
MYOC	ENSG00000034971.17	ENSG00000034971	ENST00000037502.11	protein_coding	77	0	0	0	0	0	0	0	0	0.61038961038961	508	11	10	3	0.415354330708661
NSMAF	ENSG00000035681.9	ENSG00000035681	ENST00000038176.8	protein_coding	222	1	1	0	0	0	0	0	2	0.810810810810811	598	12	12	3	0.3561872909699
OTC	ENSG00000036473.8	ENSG00000036473	ENST00000039007.5	protein_coding	93	0	0	0	0	0	0	0	0	0.419354838709677	364	11	9	3	0.313186813186813
TTC17	ENSG00000052841.15	ENSG00000052841	ENST00000039989.9	protein_coding	35	0	0	0	0	0	0	0	0	0.8	1027	19	17	2	0.399221032132425
HOXC8	ENSG00000037965.6	ENSG00000037965	ENST00000040584.6	protein_coding	300	1	0	1	0	1	2	1	0	0.76	1388	19	18	2	0.412824207492795
MRI1	ENSG00000037757.14	ENSG00000037757	ENST00000040663.8	protein_coding	67	0	0	0	0	0	0	0	0	0.716417910447761	2001	28	28	3	0.464267866066967
BOD1L1	ENSG00000038219.13	ENSG00000038219	ENST00000040738.10	protein_coding	138	0	0	0	0	0	0	0	0	0.695652173913044	1273	31	30	2	0.329143754909662
TARBP1	ENSG00000059588.10	ENSG00000059588	ENST00000040877.2	protein_coding	76	0	0	0	0	0	0	0	0	0.763157894736842	264	3	2	2	0.265151515151515
RIPOR1	ENSG00000039523.20	ENSG00000039523	ENST00000042381.9	protein_coding	109	1	0	1	0	1	2	3	0	0.761467889908257	323	3	2	2	0.520123839009288
RTN4R	ENSG00000040608.14	ENSG00000040608	ENST00000043402.8	protein_coding	226	1	0	1	0	1	2	1	0	0.836283185840708	296	3	3	2	0.587837837837838
PSMA4	ENSG00000041357.16	ENSG00000041357	ENST00000044462.12	protein_coding	119	0	0	0	0	0	0	0	0	0.46218487394958	3473	53	52	3	0.421537575583069
ZPBP	ENSG00000042813.8	ENSG00000042813	ENST00000046087.7	protein_coding	52	0	0	0	0	0	0	0	0	0.730769230769231	87	2	1	1	0.206896551724138
CTNS	ENSG00000040531.16	ENSG00000040531	ENST00000046640.9	protein_coding	301	1	1	0	0	0	0	0	1	0.604651162790698	2734	18	18	3	0.557425018288222
LCP2	ENSG00000043462.13	ENSG00000043462	ENST00000046794.10	protein_coding	166	2	2	0	0	0	0	0	2	0.590361445783133	2464	42	41	3	0.377029220779221
DCN	ENSG00000011465.18	ENSG00000011465	ENST00000052754.10	protein_coding	196	2	2	0	0	0	0	0	3	0.443877551020408	5574	120	119	3	0.363293864370291
TNFRSF17	ENSG00000048462.11	ENSG00000048462	ENST00000053243.6	protein_coding	115	0	0	0	0	0	0	0	0	0.4	221	6	5	2	0.352941176470588
MRPS10	ENSG00000048544.6	ENSG00000048544	ENST00000053468.4	protein_coding	12	0	0	0	0	0	0	0	0	0.75	1482	27	26	3	0.411605937921727
GRN	ENSG00000030582.18	ENSG00000030582	ENST00000053867.8	protein_coding	40	0	0	0	0	0	0	0	0	0.725	308	1	1	3	0.568181818181818
VAMP3	ENSG00000049245.13	ENSG00000049245	ENST00000054666.11	protein_coding	88	0	0	0	0	0	0	0	0	0.681818181818182	1787	33	32	3	0.401790710688304
RCN1	ENSG00000049449.10	ENSG00000049449	ENST00000054950.4	protein_coding	123	0	0	0	0	0	0	0	0	0.739837398373984	1250	27	24	3	0.364
RFC2	ENSG00000049541.11	ENSG00000049541	ENST00000055077.8	protein_coding	16	0	0	0	0	0	0	0	0	0.625	604	6	6	3	0.531456953642384
PPP1R3F	ENSG00000049769.14	ENSG00000049769	ENST00000055335.11	protein_coding	77	0	0	0	0	0	0	0	0	0.818181818181818	1000	19	18	3	0.481
NEXMIF	ENSG00000050030.16	ENSG00000050030	ENST00000055682.12	protein_coding	617	2	2	0	0	0	0	0	2	0.66612641815235	6549	126	125	3	0.356237593525729
ARHGEF5	ENSG00000050327.15	ENSG00000050327	ENST00000056217.10	protein_coding	112	1	1	0	0	0	0	0	2	0.758928571428571	576	8	7	3	0.5
NFE2L3	ENSG00000050344.9	ENSG00000050344	ENST00000056233.4	protein_coding	301	0	0	0	0	0	0	0	0	0.777408637873754	1354	24	24	3	0.350812407680945
TNIP3	ENSG00000050730.16	ENSG00000050730	ENST00000057513.8	protein_coding	196	3	3	0	0	0	0	0	2	0.336734693877551	1223	27	25	3	0.414554374488962
SIKE1	ENSG00000052723.12	ENSG00000052723	ENST00000060969.6	protein_coding	78	1	1	0	0	0	0	0	1	0.628205128205128	4792	90	90	3	0.342028380634391
TLL1	ENSG00000038295.8	ENSG00000038295	ENST00000061240.7	protein_coding	668	4	4	0	0	0	0	0	2	0.67814371257485	3581	84	84	3	0.325328120636694
CBLN4	ENSG00000054803.4	ENSG00000054803	ENST00000064571.3	protein_coding	1348	6	6	0	0	0	0	0	2	0.652818991097923	1200	22	22	3	0.3075
CLDN11	ENSG00000013297.12	ENSG00000013297	ENST00000064724.8	protein_coding	199	0	0	0	0	0	0	0	0	0.753768844221106	1935	30	30	3	0.383462532299742
RELT	ENSG00000054967.13	ENSG00000054967	ENST00000064780.7	protein_coding	126	0	0	0	0	0	0	0	0	0.793650793650794	1983	22	22	3	0.553706505295008
CDC27	ENSG00000004897.12	ENSG00000004897	ENST00000066544.8	protein_coding	123	1	1	0	0	0	0	0	1	0.691056910569106	3232	61	60	3	0.332920792079208
YIPF1	ENSG00000058799.15	ENSG00000058799	ENST00000072644.7	protein_coding	354	1	1	0	0	0	0	0	2	0.564971751412429	546	19	18	3	0.456043956043956
ADCK2	ENSG00000133597.11	ENSG00000133597	ENST00000072869.9	protein_coding	386	1	1	0	0	0	0	0	2	0.795336787564767	307	5	3	3	0.511400651465798
SLC2A3	ENSG00000059804.16	ENSG00000059804	ENST00000075120.12	protein_coding	153	2	2	0	0	0	0	0	3	0.418300653594771	2183	44	43	3	0.42647732478241
ENPP2	ENSG00000136960.13	ENSG00000136960	ENST00000075322.11	protein_coding	59	0	0	0	0	0	0	0	0	0.508474576271186	435	8	7	2	0.314942528735632
STYK1	ENSG00000060140.9	ENSG00000060140	ENST00000075503.8	protein_coding	281	3	3	0	0	0	0	0	3	0.512455516014235	1221	31	31	3	0.375921375921376
GNA11	ENSG00000088256.9	ENSG00000088256	ENST00000078429.9	protein_coding	290	0	0	0	0	0	0	0	0	0.879310344827586	2820	23	23	3	0.614184397163121
CREB3L3	ENSG00000060566.14	ENSG00000060566	ENST00000078445.7	protein_coding	117	1	0	1	0	1	2	2	0	0.666666666666667	1085	6	6	3	0.574193548387097
HDAC7	ENSG00000061273.18	ENSG00000061273	ENST00000080059.12	protein_coding	118	2	2	0	0	0	0	0	2	0.771186440677966	1119	15	13	3	0.571045576407507
MRPS35	ENSG00000061794.13	ENSG00000061794	ENST00000081029.8	protein_coding	12	0	0	0	0	0	0	0	0	0.75	845	18	18	3	0.358579881656805
APPBP2	ENSG00000062725.10	ENSG00000062725	ENST00000083182.8	protein_coding	311	0	0	0	0	0	0	0	0	0.70096463022508	4423	96	96	3	0.356319240334615
CA11	ENSG00000063180.9	ENSG00000063180	ENST00000084798.9	protein_coding	555	3	3	0	0	0	0	0	3	0.596396396396396	173	0	0	0	0.502890173410405
CD22	ENSG00000012124.17	ENSG00000012124	ENST00000085219.10	protein_coding	66	1	0	1	0	1	2	1	0	0.606060606060606	664	8	6	3	0.569277108433735
GSC2	ENSG00000063515.3	ENSG00000063515	ENST00000086933.3	protein_coding	9	0	0	0	0	0	0	0	0	1	1998	15	15	3	0.585085085085085
ZFY	ENSG00000067646.12	ENSG00000067646	ENST00000155093.8	protein_coding	417	2	1	1	0	1	2	1	2	0.688249400479616	2513	46	44	3	0.285714285714286
KCNQ1	ENSG00000053918.18	ENSG00000053918	ENST00000155840.12	protein_coding	91	0	0	0	0	0	0	0	0	0.802197802197802	1102	13	12	3	0.609800362976407
TRIB2	ENSG00000071575.12	ENSG00000071575	ENST00000155926.9	protein_coding	1372	3	3	0	0	0	0	0	2	0.610787172011662	1940	41	41	3	0.413917525773196
GPKOW	ENSG00000068394.11	ENSG00000068394	ENST00000156109.7	protein_coding	13	0	0	0	0	0	0	0	0	0.461538461538462	214	3	3	3	0.457943925233645
AQR	ENSG00000021776.11	ENSG00000021776	ENST00000156471.10	protein_coding	129	0	0	0	0	0	0	0	0	0.627906976744186	5010	103	102	3	0.379840319361277
ST6GALNAC1	ENSG00000070526.15	ENSG00000070526	ENST00000156626.12	protein_coding	119	1	0	1	0	1	2	2	0	0.563025210084034	567	9	8	3	0.419753086419753
LMCD1	ENSG00000071282.12	ENSG00000071282	ENST00000157600.8	protein_coding	116	0	0	0	0	0	0	0	0	0.71551724137931	7070	142	140	3	0.422347949080622
PSMC4	ENSG00000013275.8	ENSG00000013275	ENST00000157812.7	protein_coding	38	0	0	0	0	0	0	0	0	0.605263157894737	459	9	9	3	0.464052287581699
FNDC8	ENSG00000073598.6	ENSG00000073598	ENST00000158009.6	protein_coding	79	1	0	1	0	1	2	2	0	0.556962025316456	298	3	1	2	0.630872483221476
ACAP1	ENSG00000072818.12	ENSG00000072818	ENST00000158762.8	protein_coding	206	0	0	0	0	0	0	0	0	0.66504854368932	82	0	0	0	0.731707317073171
DERL2	ENSG00000072849.11	ENSG00000072849	ENST00000158771.9	protein_coding	17	0	0	0	0	0	0	0	0	0.705882352941177	3430	64	64	3	0.376967930029155
NOX3	ENSG00000074771.4	ENSG00000074771	ENST00000159060.3	protein_coding	39	0	0	0	0	0	0	0	0	0.435897435897436	234	3	1	2	0.341880341880342
ANO8	ENSG00000074855.11	ENSG00000074855	ENST00000159087.7	protein_coding	185	1	1	0	0	0	0	0	1	0.772972972972973	294	4	3	2	0.445578231292517
KDM4B	ENSG00000127663.15	ENSG00000127663	ENST00000159111.9	protein_coding	226	0	0	0	0	0	0	0	0	0.699115044247788	2087	18	17	3	0.564446574029708
ICAM3	ENSG00000076662.10	ENSG00000076662	ENST00000160262.10	protein_coding	10	0	0	0	0	0	0	0	0	0.5	81	0	0	0	0.567901234567901
CAMSAP3	ENSG00000076826.10	ENSG00000076826	ENST00000160298.9	protein_coding	140	0	0	0	0	0	0	0	0	0.857142857142857	247	0	0	0	0.615384615384615
CTTNBP2	ENSG00000077063.11	ENSG00000077063	ENST00000160373.8	protein_coding	26	0	0	0	0	0	0	0	0	0.576923076923077	886	24	23	3	0.27313769751693
ACTL6B	ENSG00000077080.10	ENSG00000077080	ENST00000160382.10	protein_coding	94	0	0	0	0	0	0	0	0	0.776595744680851	149	5	5	2	0.469798657718121
KIF22	ENSG00000079616.13	ENSG00000079616	ENST00000160827.9	protein_coding	9	0	0	0	0	0	0	0	0	0.666666666666667	74	0	0	0	0.445945945945946
PRSS22	ENSG00000005001.10	ENSG00000005001	ENST00000161006.8	protein_coding	66	0	0	0	0	0	0	0	0	0.727272727272727	363	3	3	1	0.59504132231405
CEACAM1	ENSG00000079385.23	ENSG00000079385	ENST00000161559.11	protein_coding	107	0	0	0	0	0	0	0	0	0.598130841121495	1803	27	25	3	0.425402107598447
YTHDC2	ENSG00000047188.16	ENSG00000047188	ENST00000161863.9	protein_coding	202	1	1	0	0	0	0	0	2	0.628712871287129	1810	39	39	3	0.325966850828729
TMEM161A	ENSG00000064545.15	ENSG00000064545	ENST00000162044.14	protein_coding	50	0	0	0	0	0	0	0	0	0.74	761	9	9	3	0.599211563731932
BCAR1	ENSG00000050820.17	ENSG00000050820	ENST00000162330.10	protein_coding	142	0	0	0	0	0	0	0	0	0.845070422535211	1330	16	15	3	0.616541353383459
FOXJ2	ENSG00000065970.9	ENSG00000065970	ENST00000162391.8	protein_coding	1132	1	1	0	0	0	0	0	2	0.645759717314488	2667	45	43	3	0.421072365954256
TNFRSF1A	ENSG00000067182.8	ENSG00000067182	ENST00000162749.7	protein_coding	262	2	2	0	0	0	0	0	2	0.587786259541985	541	6	5	2	0.545286506469501
GOLGA5	ENSG00000066455.13	ENSG00000066455	ENST00000163416.7	protein_coding	182	0	0	0	0	0	0	0	0	0.692307692307692	501	7	6	3	0.30938123752495
CELSR3	ENSG00000008300.17	ENSG00000008300	ENST00000164024.5	protein_coding	252	2	1	1	0	1	2	2	2	0.813492063492063	1742	23	23	2	0.527554535017222
PPP2R5B	ENSG00000068971.14	ENSG00000068971	ENST00000164133.7	protein_coding	604	3	3	0	0	0	0	0	3	0.708609271523179	631	6	6	3	0.58161648177496
PYGM	ENSG00000068976.14	ENSG00000068976	ENST00000164139.4	protein_coding	76	0	0	0	0	0	0	0	0	0.697368421052632	261	3	2	1	0.578544061302682
BCL3	ENSG00000069399.15	ENSG00000069399	ENST00000164227.10	protein_coding	83	0	0	0	0	0	0	0	0	0.807228915662651	429	7	7	3	0.557109557109557
PIGB	ENSG00000069943.10	ENSG00000069943	ENST00000164305.10	protein_coding	29	0	0	0	0	0	0	0	0	0.689655172413793	216	6	6	2	0.310185185185185
PRLH	ENSG00000071677.1	ENSG00000071677	ENST00000165524.1	protein_coding	0	0	0	0	0	0	0	0	0		0	0	0	0	
FSTL3	ENSG00000070404.10	ENSG00000070404	ENST00000166139.9	protein_coding	32	0	0	0	0	0	0	0	0	0.6875	1677	18	17	3	0.612403100775194
EPHA8	ENSG00000070886.12	ENSG00000070886	ENST00000166244.8	protein_coding	147	0	0	0	0	0	0	0	0	0.843537414965986	1854	29	29	3	0.606796116504854
TRIP13	ENSG00000071539.14	ENSG00000071539	ENST00000166345.8	protein_coding	115	0	0	0	0	0	0	0	0	0.773913043478261	1017	23	23	3	0.368731563421829
VASH1	ENSG00000071246.11	ENSG00000071246	ENST00000167106.9	protein_coding	1354	6	6	0	0	0	0	0	3	0.686115214180207	3997	71	71	3	0.565674255691769
KRT14	ENSG00000186847.6	ENSG00000186847	ENST00000167586.7	protein_coding	61	0	0	0	0	0	0	0	0	0.622950819672131	156	0	0	0	0.596153846153846
KRT20	ENSG00000171431.4	ENSG00000171431	ENST00000167588.4	protein_coding	57	0	0	0	0	0	0	0	0	0.56140350877193	472	6	6	2	0.364406779661017
SPP2	ENSG00000072080.11	ENSG00000072080	ENST00000168148.8	protein_coding	85	0	0	0	0	0	0	0	0	0.423529411764706	300	6	5	3	0.443333333333333
HSD17B10	ENSG00000072506.14	ENSG00000072506	ENST00000168216.11	protein_coding	25	0	0	0	0	0	0	0	0	0.68	143	0	0	0	0.517482517482518
FGF4	ENSG00000075388.4	ENSG00000075388	ENST00000168712.3	protein_coding	257	1	1	0	0	0	0	0	1	0.77431906614786	2287	46	46	3	0.423699169217315
ST6GAL1	ENSG00000073849.16	ENSG00000073849	ENST00000169298.8	protein_coding	633	6	6	0	0	0	0	0	3	0.619273301737757	2750	52	51	3	0.474181818181818
TIMM21	ENSG00000075336.12	ENSG00000075336	ENST00000169551.11	protein_coding	286	6	6	0	0	0	0	0	3	0.468531468531469	2051	44	43	3	0.395904436860068
BPIFB2	ENSG00000078898.7	ENSG00000078898	ENST00000170150.4	protein_coding	91	0	0	0	0	0	0	0	0	0.67032967032967	320	0	0	0	0.5625
REXO1	ENSG00000079313.15	ENSG00000079313	ENST00000170168.9	protein_coding	125	1	1	0	0	0	0	0	3	0.864	818	6	4	2	0.654034229828851
MKRN2	ENSG00000075975.17	ENSG00000075975	ENST00000170447.12	protein_coding	64	0	0	0	0	0	0	0	0	0.765625	1460	12	12	3	0.4
GPATCH1	ENSG00000076650.7	ENSG00000076650	ENST00000170564.7	protein_coding	13	0	0	0	0	0	0	0	0	0.692307692307692	382	5	5	3	0.37696335078534
KEAP1	ENSG00000079999.14	ENSG00000079999	ENST00000171111.10	protein_coding	163	0	0	0	0	0	0	0	0	0.699386503067485	527	11	11	3	0.519924098671727
P2RY10	ENSG00000078589.13	ENSG00000078589	ENST00000171757.3	protein_coding	310	8	8	0	0	0	0	0	2	0.432258064516129	2187	40	40	3	0.340649291266575
