expt.ATG,ensgid,enstid_version,enstid
6;[3~10];6.224,ENSG00000007312,ENST00000006750.8,ENST00000006750
7;[4~11];7.568,ENSG00000005486,ENST00000006777.11,ENST00000006777
9;[5~13];9.289,ENSG00000007376,ENST00000007264.7,ENST00000007264
3;[1~6];3.394,ENSG00000007520,ENST00000007390.3,ENST00000007390
9;[5~14];9.259,ENSG00000006025,ENST00000007414.8,ENST00000007414
6;[3~9];5.796,ENSG00000004777,ENST00000007510.9,ENST00000007510
5;[2~8];4.948,ENSG00000004779,ENST00000007516.8,ENST00000007516
3;[0~5];2.615,ENSG00000006047,ENST00000007699.10,ENST00000007699
0;[0~0];0,ENSG00000006059,ENST00000007735.4,ENST00000007735
3;[1~6];3.504,ENSG00000008197,ENST00000008391.4,ENST00000008391
15;[9~21];14.763,ENSG00000008405,ENST00000008527.10,ENST00000008527
1;[0~3];1.428,ENSG00000008438,ENST00000008938.5,ENST00000008938
17;[12~23];17.209,ENSG00000010270,ENST00000009041.12,ENST00000009041
9;[5~14];9.228,ENSG00000010278,ENST00000009180.10,ENST00000009180
6;[2~9.02499999999998];5.649,ENSG00000019582,ENST00000009530.13,ENST00000009530
1;[0~2];0.882,ENSG00000008988,ENST00000009589.8,ENST00000009589
1;[0~3];1.027,ENSG00000091704,ENST00000011292.8,ENST00000011292
17;[11~24];17.45,ENSG00000010017,ENST00000011619.6,ENST00000011619
17;[12~23];17.466,ENSG00000010610,ENST00000011653.9,ENST00000011653
44;[34~54];44.215,ENSG00000008324,ENST00000011691.6,ENST00000011691
40;[31~50];40.272,ENSG00000011105,ENST00000011898.10,ENST00000011898
12;[7~17.025];12.199,ENSG00000011478,ENST00000012049.10,ENST00000012049
8;[4~12];7.624,ENSG00000011485,ENST00000012443.9,ENST00000012443
39;[30~49];38.863,ENSG00000012963,ENST00000013070.11,ENST00000013070
29;[21~38];29.292,ENSG00000241644,ENST00000013222.5,ENST00000013222
75;[62~88];75.016,ENSG00000013588,ENST00000014914.6,ENST00000014914
7;[3~11];6.883,ENSG00000013583,ENST00000014930.9,ENST00000014930
69;[56.975~82];69.342,ENSG00000014919,ENST00000016171.6,ENST00000016171
5;[2~8];4.81,ENSG00000071203,ENST00000016913.8,ENST00000016913
38;[29~48];38.32,ENSG00000015568,ENST00000016946.8,ENST00000016946
10;[6~15];10.2,ENSG00000015532,ENST00000017003.7,ENST00000017003
3;[1~5];3.084,ENSG00000080293,ENST00000019103.8,ENST00000019103
5;[2~8];4.577,ENSG00000059915,ENST00000020673.6,ENST00000020673
71;[59~83];70.764,ENSG00000019505,ENST00000020926.8,ENST00000020926
26;[19~34];26.168,ENSG00000019549,ENST00000020945.4,ENST00000020945
11;[7~16];11.225,ENSG00000078668,ENST00000022615.9,ENST00000022615
1;[0~3];0.996,ENSG00000021488,ENST00000023064.9,ENST00000023064
31;[23.975~40];31.285,ENSG00000023287,ENST00000025008.10,ENST00000025008
75;[62~89];75.474,ENSG00000023516,ENST00000025301.4,ENST00000025301
20;[13~27];19.786,ENSG00000079112,ENST00000027335.8,ENST00000027335
9;[5~13];9.002,ENSG00000027847,ENST00000029410.10,ENST00000029410
3;[0~6];2.899,ENSG00000033100,ENST00000035307.7,ENST00000035307
11;[6~16];10.87,ENSG00000034713,ENST00000037243.7,ENST00000037243
9;[5~14];9.182,ENSG00000034971,ENST00000037502.11,ENST00000037502
11;[7~16];11.344,ENSG00000035681,ENST00000038176.8,ENST00000038176
10;[5~14];9.627,ENSG00000036473,ENST00000039007.5,ENST00000039007
17;[11~23];17.095,ENSG00000052841,ENST00000039989.9,ENST00000039989
19;[13~26];19.454,ENSG00000037965,ENST00000040584.6,ENST00000040584
32;[23~40];31.525,ENSG00000037757,ENST00000040663.8,ENST00000040663
23;[16~30];23.289,ENSG00000038219,ENST00000040738.10,ENST00000040738
5;[2~8.02499999999998];5.08,ENSG00000059588,ENST00000040877.2,ENST00000040877
4;[1~8];4.187,ENSG00000039523,ENST00000042381.9,ENST00000042381
3;[1~7];3.405,ENSG00000040608,ENST00000043402.8,ENST00000043402
59;[47.975~70.025];58.626,ENSG00000041357,ENST00000044462.12,ENST00000044462
2;[0~4];1.895,ENSG00000042813,ENST00000046087.7,ENST00000046087
29;[21~36];28.708,ENSG00000040531,ENST00000046640.9,ENST00000046640
36;[28~46];36.064,ENSG00000043462,ENST00000046794.10,ENST00000046794
117;[101~133];116.708,ENSG00000011465,ENST00000052754.10,ENST00000052754
3;[1~6];3.227,ENSG00000048462,ENST00000053243.6,ENST00000053243
28;[20~36];28.123,ENSG00000048544,ENST00000053468.4,ENST00000053468
3;[0.975000000000001~6];2.914,ENSG00000030582,ENST00000053867.8,ENST00000053867
7;[3~10];7.001,ENSG00000041988,ENST00000054650.9,ENST00000054650
32;[24~41];31.948,ENSG00000049245,ENST00000054666.11,ENST00000054666
29;[21.975~36.025];28.654,ENSG00000049449,ENST00000054950.4,ENST00000054950
10;[6~14];9.965,ENSG00000049541,ENST00000055077.8,ENST00000055077
21;[15~28];20.978,ENSG00000049769,ENST00000055335.11,ENST00000055335
126;[109~144];126.156,ENSG00000050030,ENST00000055682.12,ENST00000055682
7;[3~12];7.382,ENSG00000050327,ENST00000056217.10,ENST00000056217
24;[16.975~31];23.557,ENSG00000050344,ENST00000056233.4,ENST00000056233
32;[24~40.025];32.383,ENSG00000050730,ENST00000057513.8,ENST00000057513
93;[79~109];93.544,ENSG00000052723,ENST00000060969.6,ENST00000060969
79;[66~92.025];79.178,ENSG00000038295,ENST00000061240.7,ENST00000061240
