expt.strong_1,expt.moderate_1,expt.moderate_2,expt.weak_1,expt.weak_2,ensgid,enstid_version,enstid
0,0,0,0,0,ENSG00000011485,ENST00000012443.9,ENST00000012443
0,0,0,0,0,ENSG00000012963,ENST00000013070.11,ENST00000013070
0,0,0,0,0,ENSG00000241644,ENST00000013222.5,ENST00000013222
0.041,0.159,0.079,0.309,0.315,ENSG00000013588,ENST00000014914.6,ENST00000014914
0,0,0,0,0,ENSG00000013583,ENST00000014930.9,ENST00000014930
0.061,0.159,0.118,0.31,0.32,ENSG00000014919,ENST00000016171.6,ENST00000016171
0.168,0.54,0.229,0.685,0.775,ENSG00000071203,ENST00000016913.8,ENST00000016913
0,0,0,0,0,ENSG00000015568,ENST00000016946.8,ENST00000016946
0,0,0,0,0,ENSG00000015532,ENST00000017003.7,ENST00000017003
0.326,0.693,0.547,1.188,1.251,ENSG00000080293,ENST00000019103.8,ENST00000019103
0.065,0.256,0.183,0.673,0.728,ENSG00000059915,ENST00000020673.6,ENST00000020673
0.118,0.255,0.235,0.507,0.519,ENSG00000019505,ENST00000020926.8,ENST00000020926
0.083,0.317,0.179,0.724,0.781,ENSG00000019549,ENST00000020945.4,ENST00000020945
0.111,0.326,0.191,0.571,0.597,ENSG00000078668,ENST00000022615.9,ENST00000022615
0.109,0.359,0.23,0.749,0.758,ENSG00000021488,ENST00000023064.9,ENST00000023064
0.69,2.061,1.34,4.116,4.257,ENSG00000023287,ENST00000025008.10,ENST00000025008
0.494,1.696,0.967,3.227,3.641,ENSG00000023516,ENST00000025301.4,ENST00000025301
0.084,0.499,0.138,0.8,0.888,ENSG00000079112,ENST00000027335.8,ENST00000027335
0.067,0.215,0.163,0.484,0.499,ENSG00000027847,ENST00000029410.10,ENST00000029410
1.797,5.506,3.862,11.998,12.512,ENSG00000033100,ENST00000035307.7,ENST00000035307
0,0,0,0,0,ENSG00000034713,ENST00000037243.7,ENST00000037243
0.008,0.044,0.017,0.096,0.1,ENSG00000034971,ENST00000037502.11,ENST00000037502
0.105,0.317,0.233,0.677,0.735,ENSG00000035681,ENST00000038176.8,ENST00000038176
0.08,0.258,0.18,0.573,0.638,ENSG00000036473,ENST00000039007.5,ENST00000039007
0,0,0,0,0,ENSG00000052841,ENST00000039989.9,ENST00000039989
0.099,0.293,0.207,0.599,0.624,ENSG00000037965,ENST00000040584.6,ENST00000040584
0,0,0,0,0,ENSG00000037757,ENST00000040663.8,ENST00000040663
0.103,0.282,0.255,0.668,0.722,ENSG00000038219,ENST00000040738.10,ENST00000040738
0.074,0.165,0.155,0.349,0.365,ENSG00000059588,ENST00000040877.2,ENST00000040877
0.041,0.129,0.08,0.276,0.279,ENSG00000039523,ENST00000042381.9,ENST00000042381
0.062,0.173,0.127,0.382,0.387,ENSG00000040608,ENST00000043402.8,ENST00000043402
0.246,0.627,0.529,1.226,1.345,ENSG00000041357,ENST00000044462.12,ENST00000044462
0,0,0,0,0,ENSG00000042813,ENST00000046087.7,ENST00000046087
0.359,1.263,0.715,2.372,2.48,ENSG00000040531,ENST00000046640.9,ENST00000046640
0.313,0.921,0.605,1.729,1.828,ENSG00000043462,ENST00000046794.10,ENST00000046794
0.329,1.215,0.737,2.526,2.736,ENSG00000011465,ENST00000052754.10,ENST00000052754
0.052,0.451,0.181,1.472,1.712,ENSG00000048462,ENST00000053243.6,ENST00000053243
0,0,0,0,0,ENSG00000048544,ENST00000053468.4,ENST00000053468
0,0,0,0,0,ENSG00000030582,ENST00000053867.8,ENST00000053867
0.332,0.868,0.673,1.731,1.823,ENSG00000041988,ENST00000054650.9,ENST00000054650
0.011,0.074,0.025,0.261,0.267,ENSG00000049245,ENST00000054666.11,ENST00000054666
0.008,0.054,0.028,0.164,0.195,ENSG00000049449,ENST00000054950.4,ENST00000054950
0,0,0,0,0,ENSG00000049541,ENST00000055077.8,ENST00000055077
0.056,0.209,0.138,0.578,0.926,ENSG00000049769,ENST00000055335.11,ENST00000055335
0.434,1.825,0.799,3.252,3.362,ENSG00000050030,ENST00000055682.12,ENST00000055682
0.42,0.786,0.718,1.379,1.462,ENSG00000050327,ENST00000056217.10,ENST00000056217
0.24,0.525,0.478,1.035,1.058,ENSG00000050344,ENST00000056233.4,ENST00000056233
0.075,0.889,0.209,2.315,2.519,ENSG00000050730,ENST00000057513.8,ENST00000057513
0.19,0.677,0.307,1.118,1.297,ENSG00000052723,ENST00000060969.6,ENST00000060969
0.457,1.486,1.046,3.264,3.329,ENSG00000038295,ENST00000061240.7,ENST00000061240
1.505,4.398,3.041,8.787,9.04,ENSG00000054803,ENST00000064571.3,ENST00000064571
0.056,0.174,0.119,0.372,0.392,ENSG00000013297,ENST00000064724.8,ENST00000064724
0,0,0,0,0,ENSG00000054967,ENST00000064780.7,ENST00000064780
0.196,0.462,0.373,0.865,0.895,ENSG00000004897,ENST00000066544.8,ENST00000066544
0.372,1.324,0.811,2.732,2.859,ENSG00000058799,ENST00000072644.7,ENST00000072644
0.326,0.741,0.67,1.519,1.552,ENSG00000133597,ENST00000072869.9,ENST00000072869
0.332,1.387,0.585,2.513,2.837,ENSG00000059804,ENST00000075120.12,ENST00000075120
0.023,0.149,0.038,0.262,0.304,ENSG00000136960,ENST00000075322.11,ENST00000075322
1.067,3.076,2.063,5.887,6.513,ENSG00000060140,ENST00000075503.8,ENST00000075503
0,0,0,0,0,ENSG00000088256,ENST00000078429.9,ENST00000078429
0.219,0.689,0.416,1.219,1.289,ENSG00000060566,ENST00000078445.7,ENST00000078445
0.086,0.264,0.233,0.723,0.758,ENSG00000061273,ENST00000080059.12,ENST00000080059
0,0,0,0,0,ENSG00000061794,ENST00000081029.8,ENST00000081029
0.221,0.527,0.402,0.986,1.003,ENSG00000062725,ENST00000083182.8,ENST00000083182
1.035,2.312,1.333,3.003,3.087,ENSG00000063180,ENST00000084798.9,ENST00000084798
0.105,0.359,0.176,0.579,0.638,ENSG00000012124,ENST00000085219.10,ENST00000085219
0,0,0,0,0,ENSG00000063515,ENST00000086933.3,ENST00000086933
0.502,1.575,0.929,2.9,3.033,ENSG00000067646,ENST00000155093.8,ENST00000155093
0,0,0,0,0,ENSG00000053918,ENST00000155840.12,ENST00000155840
1.162,3.796,2.404,7.885,8.088,ENSG00000071575,ENST00000155926.9,ENST00000155926
0,0,0,0,0,ENSG00000068394,ENST00000156109.7,ENST00000156109
0.066,0.187,0.114,0.322,0.339,ENSG00000021776,ENST00000156471.10,ENST00000156471
0.135,0.58,0.267,1.099,1.181,ENSG00000070526,ENST00000156626.12,ENST00000156626
0.019,0.138,0.051,0.342,0.349,ENSG00000071282,ENST00000157600.8,ENST00000157600
0.048,0.128,0.109,0.274,0.33,ENSG00000013275,ENST00000157812.7,ENST00000157812
0.133,0.377,0.329,0.979,1.156,ENSG00000073598,ENST00000158009.6,ENST00000158009
0.147,0.379,0.388,0.933,0.993,ENSG00000072818,ENST00000158762.8,ENST00000158762
0,0,0,0,0,ENSG00000072849,ENST00000158771.9,ENST00000158771
0,0.185,0,0.274,0.304,ENSG00000074771,ENST00000159060.3,ENST00000159060
0.077,0.226,0.162,0.471,0.48,ENSG00000074855,ENST00000159087.7,ENST00000159087
0.324,0.912,0.613,1.741,1.858,ENSG00000127663,ENST00000159111.9,ENST00000159111
0,0,0,0,0,ENSG00000076662,ENST00000160262.10,ENST00000160262
0,0,0,0,0,ENSG00000076826,ENST00000160298.9,ENST00000160298
0,0,0,0,0,ENSG00000077063,ENST00000160373.8,ENST00000160373
0.083,0.279,0.199,0.613,0.626,ENSG00000077080,ENST00000160382.10,ENST00000160382
0,0,0,0,0,ENSG00000079616,ENST00000160827.9,ENST00000160827
0.021,0.129,0.066,0.427,0.526,ENSG00000005001,ENST00000161006.8,ENST00000161006
0,0,0,0,0,ENSG00000079385,ENST00000161559.11,ENST00000161559
0.273,0.84,0.64,1.895,2.005,ENSG00000047188,ENST00000161863.9,ENST00000161863
0,0,0,0,0,ENSG00000064545,ENST00000162044.14,ENST00000162044
0,0,0,0,0,ENSG00000050820,ENST00000162330.10,ENST00000162330
0.392,1.05,0.745,1.938,1.96,ENSG00000065970,ENST00000162391.8,ENST00000162391
0.316,0.856,0.729,2.01,2.135,ENSG00000067182,ENST00000162749.7,ENST00000162749
0.125,0.292,0.286,0.648,0.661,ENSG00000066455,ENST00000163416.7,ENST00000163416
0.522,0.948,0.736,1.352,1.37,ENSG00000008300,ENST00000164024.5,ENST00000164024
0.556,1.47,1.084,2.874,2.93,ENSG00000068971,ENST00000164133.7,ENST00000164133
0.038,0.134,0.091,0.323,0.361,ENSG00000068976,ENST00000164139.4,ENST00000164139
0,0,0,0,0,ENSG00000069399,ENST00000164227.10,ENST00000164227
0,0,0,0,0,ENSG00000069943,ENST00000164305.10,ENST00000164305
0,0,0,0,0,ENSG00000071677,ENST00000165524.1,ENST00000165524
0,0,0,0,0,ENSG00000070404,ENST00000166139.9,ENST00000166139
0,0,0,0,0,ENSG00000070886,ENST00000166244.8,ENST00000166244
0.109,0.273,0.227,0.507,0.564,ENSG00000071539,ENST00000166345.8,ENST00000166345
0.972,3.09,2.183,6.991,7.126,ENSG00000071246,ENST00000167106.9,ENST00000167106
0,0,0,0,0,ENSG00000186847,ENST00000167586.7,ENST00000167586
0.076,0.254,0.172,0.613,0.729,ENSG00000171431,ENST00000167588.4,ENST00000167588
0.03,0.397,0.061,0.814,0.897,ENSG00000072080,ENST00000168148.8,ENST00000168148
0.06,0.21,0.128,0.396,0.605,ENSG00000072506,ENST00000168216.11,ENST00000168216
0.043,0.135,0.093,0.308,0.31,ENSG00000075388,ENST00000168712.3,ENST00000168712
0.412,0.971,0.915,2.158,2.218,ENSG00000077009,ENST00000168977.7,ENST00000168977
1.031,3.235,2.124,6.45,6.791,ENSG00000073849,ENST00000169298.8,ENST00000169298
0.48,2.022,0.926,3.794,4.075,ENSG00000075336,ENST00000169551.11,ENST00000169551
0.115,0.252,0.221,0.464,0.476,ENSG00000078898,ENST00000170150.4,ENST00000170150
0.176,0.319,0.299,0.539,0.561,ENSG00000079313,ENST00000170168.9,ENST00000170168
0,0,0,0,0,ENSG00000075975,ENST00000170447.12,ENST00000170447
0,0,0,0,0,ENSG00000076650,ENST00000170564.7,ENST00000170564
0.057,0.163,0.12,0.344,0.35,ENSG00000079999,ENST00000171111.10,ENST00000171111
0.454,1.931,0.948,3.929,4.218,ENSG00000078589,ENST00000171757.3,ENST00000171757
0.092,0.22,0.138,0.369,0.39,ENSG00000064300,ENST00000172229.8,ENST00000172229
0.11,0.306,0.185,0.499,0.55,ENSG00000065320,ENST00000173229.7,ENST00000173229
0,0,0,0,0,ENSG00000066583,ENST00000173527.6,ENST00000173527
0.049,0.174,0.083,0.304,0.327,ENSG00000067445,ENST00000173898.12,ENST00000173898
0.438,1.256,0.983,2.82,3.022,ENSG00000070444,ENST00000174618.5,ENST00000174618
0,0,0,0,0,ENSG00000068697,ENST00000175091.5,ENST00000175091
0.049,0.204,0.101,0.403,0.452,ENSG00000069206,ENST00000175238.10,ENST00000175238
0,0,0,0,0,ENSG00000072135,ENST00000175756.10,ENST00000175756
0,0,0,0,0,ENSG00000069696,ENST00000176183.6,ENST00000176183
0,0,0,0,0,ENSG00000070031,ENST00000176195.4,ENST00000176195
0.21,0.559,0.383,1.073,1.117,ENSG00000072210,ENST00000176643.11,ENST00000176643
0,0,0,0,0,ENSG00000072786,ENST00000176763.10,ENST00000176763
0.06,0.194,0.126,0.37,0.389,ENSG00000073861,ENST00000177694.2,ENST00000177694
0,0,0,0,0,ENSG00000074410,ENST00000178638.8,ENST00000178638
0.213,0.816,0.608,2.348,2.386,ENSG00000137764,ENST00000178640.10,ENST00000178640
0,0,0,0,0,ENSG00000078237,ENST00000179259.6,ENST00000179259
0.256,0.982,0.626,2.329,2.462,ENSG00000078579,ENST00000180166.6,ENST00000180166
0,0,0,0,0,ENSG00000003987,ENST00000180173.10,ENST00000180173
0.054,0.235,0.103,0.378,0.426,ENSG00000080618,ENST00000181383.10,ENST00000181383
0.557,1.442,0.993,2.678,2.895,ENSG00000065809,ENST00000181796.7,ENST00000181796
0.398,1.166,0.892,2.534,2.689,ENSG00000065883,ENST00000181839.10,ENST00000181839
0.373,0.821,0.535,1.165,1.248,ENSG00000064201,ENST00000182290.9,ENST00000182290
0,0,0,0,0,ENSG00000065308,ENST00000182527.4,ENST00000182527
0,0,0,0,0,ENSG00000066405,ENST00000183605.10,ENST00000183605
0.013,0.091,0.062,0.371,0.396,ENSG00000065518,ENST00000184266.3,ENST00000184266
0,0,0,0,0,ENSG00000068097,ENST00000184956.11,ENST00000184956
0.127,0.274,0.239,0.544,0.565,ENSG00000068912,ENST00000185150.9,ENST00000185150
0.09,0.371,0.215,0.845,0.86,ENSG00000075568,ENST00000186436.10,ENST00000186436
0,0,0,0,0,ENSG00000072954,ENST00000187762.7,ENST00000187762
0.104,0.288,0.167,0.497,0.538,ENSG00000170848,ENST00000187910.7,ENST00000187910
0,0,0,0,0,ENSG00000075089,ENST00000188312.7,ENST00000188312
0.049,0.242,0.107,0.475,0.491,ENSG00000078098,ENST00000188790.9,ENST00000188790
0.108,0.457,0.243,0.904,0.924,ENSG00000064218,ENST00000190165.3,ENST00000190165
0.911,3.868,1.848,7.675,8.249,ENSG00000079156,ENST00000190611.9,ENST00000190611
0,0,0,0,0,ENSG00000064205,ENST00000190983.5,ENST00000190983
0,0,0,0,0,ENSG00000154252,ENST00000192314.7,ENST00000192314
0.089,0.238,0.183,0.459,0.465,ENSG00000065060,ENST00000192788.6,ENST00000192788
0,0,0,0,0,ENSG00000081087,ENST00000193322.8,ENST00000193322
0.272,0.922,0.575,2.027,2.185,ENSG00000081148,ENST00000193391.8,ENST00000193391
0.031,0.161,0.075,0.292,0.405,ENSG00000081800,ENST00000194130.7,ENST00000194130
0.622,1.863,1.111,3.202,3.554,ENSG00000081818,ENST00000194152.4,ENST00000194152
0.195,0.692,0.317,1.143,1.209,ENSG00000112852,ENST00000194155.7,ENST00000194155
0,0,0,0,0,ENSG00000081870,ENST00000194214.10,ENST00000194214
0.345,1.274,0.721,2.692,2.815,ENSG00000082146,ENST00000194530.8,ENST00000194530
0.017,0.068,0.046,0.196,0.209,ENSG00000083444,ENST00000196061.5,ENST00000196061
0,0,0,0,0,ENSG00000083720,ENST00000196371.10,ENST00000196371
0,0,0,0,0,ENSG00000083812,ENST00000196482.4,ENST00000196482
0.179,0.497,0.433,1.181,1.22,ENSG00000083817,ENST00000196489.4,ENST00000196489
0,0,0,0,0,ENSG00000083845,ENST00000196551.8,ENST00000196551
0,0,0,0,0,ENSG00000084444,ENST00000197268.13,ENST00000197268
0,0,0,0,0,ENSG00000085514,ENST00000198536.7,ENST00000198536
0.009,0.044,0.021,0.095,0.137,ENSG00000085721,ENST00000198767.11,ENST00000198767
0,0,0,0,0,ENSG00000166391,ENST00000198801.10,ENST00000198801
0.161,0.668,0.255,1.129,1.251,ENSG00000167580,ENST00000199280.4,ENST00000199280
0.045,0.123,0.117,0.351,0.365,ENSG00000086189,ENST00000199320.9,ENST00000199320
0.134,0.286,0.234,0.517,0.609,ENSG00000086232,ENST00000199389.11,ENST00000199389
0.447,1.296,0.873,2.535,2.635,ENSG00000086288,ENST00000199447.9,ENST00000199447
0.255,0.725,0.466,1.313,1.37,ENSG00000086289,ENST00000199448.9,ENST00000199448
0.038,0.098,0.073,0.168,0.242,ENSG00000086504,ENST00000199706.13,ENST00000199706
0,0,0,0,0,ENSG00000086506,ENST00000199708.3,ENST00000199708
0.047,0.178,0.07,0.282,0.296,ENSG00000086548,ENST00000199764.7,ENST00000199764
0.043,0.118,0.125,0.279,0.321,ENSG00000086589,ENST00000199814.9,ENST00000199814
0.267,0.833,0.58,1.901,2.081,ENSG00000086696,ENST00000199936.9,ENST00000199936
0,0,0,0,0,ENSG00000086827,ENST00000200135.8,ENST00000200135
0.037,0.123,0.085,0.252,0.254,ENSG00000132470,ENST00000200181.8,ENST00000200181
0.238,1.104,0.571,2.454,2.562,ENSG00000087074,ENST00000200453.6,ENST00000200453
0,0,0,0,0,ENSG00000087077,ENST00000200457.9,ENST00000200457
0.07,0.301,0.195,0.832,0.919,ENSG00000073670,ENST00000200557.11,ENST00000200557
0.033,0.169,0.085,0.407,0.414,ENSG00000005893,ENST00000200639.9,ENST00000200639
0.117,0.453,0.266,0.988,1.044,ENSG00000197208,ENST00000200652.4,ENST00000200652
0.095,0.189,0.211,0.384,0.412,ENSG00000087237,ENST00000200676.8,ENST00000200676
0,0,0,0,0,ENSG00000087250,ENST00000200691.5,ENST00000200691
0.419,0.991,0.777,1.862,1.983,ENSG00000087510,ENST00000201031.3,ENST00000201031
0,0,0,0,0,ENSG00000088002,ENST00000201586.7,ENST00000201586
0,0,0,0,0,ENSG00000131037,ENST00000201647.11,ENST00000201647
0.453,1.455,0.813,2.582,2.711,ENSG00000088320,ENST00000201979.3,ENST00000201979
0.064,0.2,0.109,0.329,0.358,ENSG00000088356,ENST00000202017.6,ENST00000202017
0,0,0,0,0,ENSG00000088808,ENST00000202556.14,ENST00000202556
0,0,0,0,0,ENSG00000166948,ENST00000202625.7,ENST00000202625
0.223,0.499,0.385,0.899,0.929,ENSG00000188559,ENST00000202677.12,ENST00000202677
0,0,0,0.054,0.068,ENSG00000089009,ENST00000202773.14,ENST00000202773
0.024,0.103,0.051,0.22,0.245,ENSG00000089127,ENST00000202917.10,ENST00000202917
0.16,0.759,0.26,1.201,1.338,ENSG00000089163,ENST00000202967.4,ENST00000202967
0,0,0,0,0,ENSG00000089195,ENST00000203001.7,ENST00000203001
0,0,0,0,0,ENSG00000249115,ENST00000203166.10,ENST00000203166
0,0,0,0,0,ENSG00000010256,ENST00000203407.6,ENST00000203407
0.331,0.75,0.617,1.413,1.489,ENSG00000089639,ENST00000203556.9,ENST00000203556
0.086,0.327,0.264,1.055,1.1,ENSG00000089692,ENST00000203629.3,ENST00000203629
0.443,1.053,0.751,1.861,1.995,ENSG00000089693,ENST00000203630.10,ENST00000203630
0.153,0.408,0.34,0.881,0.964,ENSG00000089723,ENST00000203664.10,ENST00000203664
0.395,1.119,0.893,2.608,2.772,ENSG00000090447,ENST00000204517.11,ENST00000204517
0,0.045,0,0.105,0.138,ENSG00000090470,ENST00000204549.9,ENST00000204549
0.149,0.438,0.307,0.88,0.895,ENSG00000090487,ENST00000204566.7,ENST00000204566
0,0,0,0,0,ENSG00000090581,ENST00000204679.9,ENST00000204679
0.825,2.143,1.452,3.697,3.799,ENSG00000090776,ENST00000204961.5,ENST00000204961
0,0,0,0,0,ENSG00000090971,ENST00000205194.5,ENST00000205194
0.39,1.482,0.77,2.926,3.284,ENSG00000157426,ENST00000205214.11,ENST00000205214
0.221,0.582,0.305,0.794,0.852,ENSG00000091140,ENST00000205402.10,ENST00000205402
0,0,0,0,0,ENSG00000091262,ENST00000205557.12,ENST00000205557
0,0,0,0,0,ENSG00000091317,ENST00000205636.4,ENST00000205636
0.023,0.173,0.071,0.379,0.472,ENSG00000091583,ENST00000205948.11,ENST00000205948
0,0,0,0,0,ENSG00000091640,ENST00000206020.8,ENST00000206020
0.062,0.147,0.131,0.319,0.334,ENSG00000091831,ENST00000206249.8,ENST00000206249
0.114,0.413,0.299,1.026,1.056,ENSG00000091844,ENST00000206262.2,ENST00000206262
0,0,0,0,0,ENSG00000091947,ENST00000206380.8,ENST00000206380
1.512,5.055,2.553,8.529,8.948,ENSG00000091986,ENST00000206423.8,ENST00000206423
0,0,0,0,0,ENSG00000092010,ENST00000206451.11,ENST00000206451
0.15,0.311,0.209,0.433,0.455,ENSG00000092067,ENST00000206513.6,ENST00000206513
0.062,0.278,0.152,0.62,0.685,ENSG00000092094,ENST00000206542.9,ENST00000206542
0.201,0.718,0.421,1.31,1.386,ENSG00000092140,ENST00000206595.11,ENST00000206595
0.132,0.522,0.369,1.374,1.561,ENSG00000092295,ENST00000206765.11,ENST00000206765
0,0,0,0,0,ENSG00000092850,ENST00000207457.8,ENST00000207457
0.115,0.305,0.216,0.553,0.594,ENSG00000092929,ENST00000207549.9,ENST00000207549
0.069,0.222,0.133,0.387,0.404,ENSG00000093217,ENST00000207870.8,ENST00000207870
0.157,0.588,0.256,0.944,1.048,ENSG00000187758,ENST00000209668.3,ENST00000209668
1.998,5.304,3.696,9.577,10.24,ENSG00000108244,ENST00000209718.8,ENST00000209718
0.397,1.331,0.671,2.173,2.364,ENSG00000094804,ENST00000209728.9,ENST00000209728
0.056,0.222,0.119,0.535,0.596,ENSG00000094914,ENST00000209873.9,ENST00000209873
0.276,0.689,0.499,1.235,1.288,ENSG00000094916,ENST00000209875.9,ENST00000209875
0.194,0.531,0.298,0.839,0.882,ENSG00000076321,ENST00000209884.5,ENST00000209884
0.078,0.233,0.12,0.347,0.384,ENSG00000094963,ENST00000209929.10,ENST00000209929
0.035,0.1,0.06,0.196,0.204,ENSG00000095059,ENST00000210060.12,ENST00000210060
0.212,0.523,0.399,0.937,0.966,ENSG00000167964,ENST00000210187.11,ENST00000210187
0,0,0,0,0,ENSG00000095261,ENST00000210313.8,ENST00000210313
0,0,0,0,0,ENSG00000095380,ENST00000210444.6,ENST00000210444
0.147,0.463,0.271,0.924,0.96,ENSG00000095917,ENST00000211076.5,ENST00000211076
0.07,0.302,0.12,0.493,0.537,ENSG00000174156,ENST00000211122.4,ENST00000211122
0.126,0.285,0.239,0.549,0.574,ENSG00000156711,ENST00000211287.9,ENST00000211287
0.064,0.207,0.129,0.422,0.451,ENSG00000096092,ENST00000211314.5,ENST00000211314
0.117,0.449,0.294,1.098,1.204,ENSG00000204314,ENST00000211413.10,ENST00000211413
0.006,0.035,0.02,0.131,0.194,ENSG00000035403,ENST00000211998.10,ENST00000211998
0,0,0,0,0,ENSG00000096717,ENST00000212015.11,ENST00000212015
0.432,1.333,0.793,2.543,2.669,ENSG00000069702,ENST00000212355.9,ENST00000212355
0,0,0,0,0,ENSG00000099203,ENST00000214869.7,ENST00000214869
0.921,2.387,1.474,3.673,3.934,ENSG00000099326,ENST00000215057.7,ENST00000215057
0.031,0.07,0.067,0.163,0.252,ENSG00000099330,ENST00000215061.9,ENST00000215061
0,0,0,0,0,ENSG00000099341,ENST00000215071.9,ENST00000215071
0.096,0.304,0.204,0.65,0.68,ENSG00000099365,ENST00000215095.11,ENST00000215095
0,0,0,0,0,ENSG00000099385,ENST00000215115.5,ENST00000215115
0.038,0.103,0.088,0.215,0.218,ENSG00000099617,ENST00000215368.4,ENST00000215368
0,0,0,0,0,ENSG00000099624,ENST00000215375.7,ENST00000215375
0,0,0,0,0,ENSG00000095932,ENST00000215531.6,ENST00000215531
0.015,0.201,0.047,0.524,0.63,ENSG00000099769,ENST00000215539.4,ENST00000215539
0.478,0.97,0.829,1.669,1.758,ENSG00000099785,ENST00000215555.7,ENST00000215555
0.076,0.247,0.13,0.454,0.47,ENSG00000099795,ENST00000215565.3,ENST00000215565
0.065,0.221,0.11,0.424,0.44,ENSG00000099797,ENST00000215567.10,ENST00000215567
0,0,0,0,0,ENSG00000099800,ENST00000215570.8,ENST00000215570
0,0,0,0,0,ENSG00000099804,ENST00000215574.9,ENST00000215574
0.112,0.317,0.174,0.51,0.523,ENSG00000099812,ENST00000215582.8,ENST00000215582
