obs.AAA,obs.AAT,obs.AAC,obs.AAG,obs.ATA,obs.ATT,obs.ATC,obs.ATG,obs.ACA,obs.ACT,obs.ACC,obs.ACG,obs.AGA,obs.AGT,obs.AGC,obs.AGG,obs.TAA,obs.TAT,obs.TAC,obs.TAG,obs.TTA,obs.TTT,obs.TTC,obs.TTG,obs.TCA,obs.TCT,obs.TCC,obs.TCG,obs.TGA,obs.TGT,obs.TGC,obs.TGG,obs.CAA,obs.CAT,obs.CAC,obs.CAG,obs.CTA,obs.CTT,obs.CTC,obs.CTG,obs.CCA,obs.CCT,obs.CCC,obs.CCG,obs.CGA,obs.CGT,obs.CGC,obs.CGG,obs.GAA,obs.GAT,obs.GAC,obs.GAG,obs.GTA,obs.GTT,obs.GTC,obs.GTG,obs.GCA,obs.GCT,obs.GCC,obs.GCG,obs.GGA,obs.GGT,obs.GGC,obs.GGG,ensgid_version,enstid_version,transcript
0,0,0,0,0,1,0,0,0,0,1,1,2,1,4,3,0,0,0,4,1,1,0,2,0,1,0,0,1,0,0,1,0,1,0,3,1,2,0,0,2,1,4,1,1,0,1,1,0,0,3,3,2,0,1,0,2,1,3,1,2,1,2,1,ENSG00000001626,ENST00000003084.11,ENST00000003084
0,0,0,1,0,1,1,0,0,0,3,2,1,3,2,3,0,0,0,1,0,1,4,1,1,2,2,3,0,2,1,4,1,1,0,2,0,2,2,3,2,4,1,2,4,2,0,3,0,1,5,4,1,2,1,4,1,1,3,2,5,1,4,2,ENSG00000001630,ENST00000003100.13,ENST00000003100
0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,2,0,0,0,0,0,0,1,0,0,1,4,1,1,1,0,0,0,0,0,5,0,1,3,2,3,2,6,4,1,0,6,0,0,0,2,2,0,0,2,1,2,1,5,2,1,1,0,0,ENSG00000002933,ENST00000004103.8,ENST00000004103
0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,1,2,0,0,0,ENSG00000004776,ENST00000004982.6,ENST00000004982
1,1,4,3,0,0,2,0,2,6,5,1,2,2,8,3,0,0,0,0,0,0,2,2,4,5,5,4,2,0,4,1,4,1,6,11,0,4,11,4,10,6,8,8,3,1,8,5,4,0,4,1,0,0,3,1,6,2,14,6,2,1,6,3,ENSG00000004799,ENST00000005178.6,ENST00000005178
1,0,1,1,0,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,2,0,1,0,1,0,1,2,ENSG00000006606,ENST00000005180.9,ENST00000005180
0,0,2,1,0,0,0,0,0,0,2,3,0,0,5,2,0,0,0,0,0,1,1,0,0,1,3,3,0,0,1,4,1,0,1,4,0,1,3,4,2,2,3,4,3,1,3,6,2,0,2,1,0,0,3,1,4,5,3,3,2,3,7,3,ENSG00000006611,ENST00000005226.12,ENST00000005226
2,1,1,2,0,1,2,0,2,3,4,1,5,2,7,6,1,0,1,0,1,1,6,1,1,4,21,4,2,0,3,4,3,0,3,9,0,7,19,4,7,17,7,11,3,2,8,12,1,2,6,9,1,0,3,4,4,6,10,8,8,3,11,3,ENSG00000006451,ENST00000005257.7,ENST00000005257
1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,0,0,0,1,1,0,1,3,0,1,3,6,2,0,0,2,0,0,2,1,2,1,3,6,2,1,5,3,ENSG00000075790,ENST00000005259.9,ENST00000005259
0,0,0,3,0,1,0,0,1,1,1,3,3,3,4,3,0,0,0,1,1,2,2,2,0,4,8,5,1,0,5,1,1,1,2,5,0,3,10,5,4,6,9,13,4,2,12,16,2,0,4,4,0,1,4,0,4,7,14,15,2,0,18,3,ENSG00000006453,ENST00000005260.9,ENST00000005260
6,4,5,8,1,2,2,5,3,5,14,2,10,5,10,12,0,0,4,2,2,6,4,3,3,6,14,1,10,3,7,5,5,4,6,14,1,5,13,13,15,13,16,8,3,2,2,7,12,3,8,14,2,2,4,4,8,9,8,3,13,2,9,5,ENSG00000006116,ENST00000005284.4,ENST00000005284
0,0,0,1,0,1,1,0,0,1,4,0,3,2,4,3,0,0,2,1,1,5,2,4,1,1,5,6,2,2,4,7,0,1,2,4,0,5,4,4,2,5,9,10,1,4,14,13,1,1,2,6,2,1,6,6,4,6,8,16,4,8,12,9,ENSG00000004975,ENST00000005340.10,ENST00000005340
0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,1,0,1,0,0,0,2,0,0,2,3,0,3,2,0,1,1,2,0,0,1,4,1,1,0,1,0,2,1,7,0,0,2,2,0,1,3,4,1,3,2,5,0,3,6,4,ENSG00000005175,ENST00000005386.8,ENST00000005386
5,8,4,5,5,7,3,2,5,5,1,0,2,3,1,6,8,5,0,5,7,8,5,1,5,6,0,0,5,0,1,1,4,3,3,1,5,4,1,3,0,1,0,0,0,0,0,0,5,0,4,2,1,2,2,1,1,1,0,0,4,3,0,1,ENSG00000007001,ENST00000005756.5,ENST00000005756
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,1,0,0,0,1,2,2,0,3,2,ENSG00000007038,ENST00000005995.8,ENST00000005995
1,2,0,3,0,0,2,1,0,2,0,1,3,1,4,2,1,0,2,1,1,0,2,0,3,0,1,1,0,1,2,1,3,1,1,2,2,2,1,2,2,0,2,1,0,0,1,3,1,1,0,3,1,1,0,1,2,4,2,1,3,1,2,0,ENSG00000005073,ENST00000006015.4,ENST00000006015
0,0,0,1,0,0,0,0,1,2,1,0,0,0,4,1,0,0,0,1,0,0,0,1,1,3,0,0,1,0,3,2,0,0,2,2,1,1,4,5,1,4,3,4,0,0,3,1,0,0,2,1,0,0,0,0,1,2,8,0,2,0,2,2,ENSG00000006210,ENST00000006053.7,ENST00000006053
0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,2,2,1,0,0,3,0,0,0,1,0,0,1,0,1,0,3,1,0,0,3,1,ENSG00000006282,ENST00000006658.11,ENST00000006658
0,0,0,1,0,0,0,0,2,0,0,3,1,1,2,1,0,0,1,0,1,2,1,2,1,0,2,2,1,1,0,1,1,0,2,1,0,0,2,0,1,2,0,0,0,2,0,4,0,0,3,2,0,4,2,1,0,0,1,1,3,3,0,3,ENSG00000007312,ENST00000006750.8,ENST00000006750
0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,6,1,0,2,2,0,0,1,0,1,0,1,4,2,0,6,2,ENSG00000005486,ENST00000006777.11,ENST00000006777
0,0,0,1,0,0,1,0,0,1,0,2,0,0,6,3,0,0,0,0,0,0,1,0,0,1,2,2,0,0,2,3,0,1,2,5,0,1,1,5,3,1,1,5,0,1,5,12,1,0,1,3,0,0,3,0,5,3,7,9,5,2,11,5,ENSG00000007376,ENST00000007264.7,ENST00000007264
0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,1,2,2,0,0,0,0,2,0,3,5,1,1,3,2,0,0,0,3,0,0,2,2,2,0,4,2,2,2,4,4,ENSG00000007520,ENST00000007390.3,ENST00000007390
0,0,0,2,0,0,2,1,2,4,3,1,3,2,7,8,0,0,2,0,0,0,5,0,3,3,9,1,4,0,6,5,2,3,2,9,1,4,7,9,5,9,7,2,0,2,2,5,0,0,6,9,1,1,2,5,6,5,4,4,8,5,5,4,ENSG00000006025,ENST00000007414.8,ENST00000007414
0,0,1,0,0,0,0,1,0,0,0,3,1,0,3,3,0,0,1,0,0,1,0,1,0,0,1,2,1,1,0,1,0,1,0,1,1,1,1,1,1,3,2,1,6,0,3,6,1,0,2,6,0,0,2,1,1,1,4,8,1,1,8,2,ENSG00000004777,ENST00000007510.9,ENST00000007510
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,1,1,1,ENSG00000004779,ENST00000007516.8,ENST00000007516
0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,4,0,0,1,0,0,0,1,1,0,0,1,3,0,2,1,6,0,1,0,1,0,0,3,3,1,1,2,8,4,1,3,12,0,0,2,5,1,1,0,4,1,4,7,8,3,4,14,9,ENSG00000006047,ENST00000007699.10,ENST00000007699
0,0,1,0,0,1,0,0,2,2,2,0,1,0,1,0,0,0,1,0,0,1,1,1,1,3,2,0,0,1,1,3,1,0,2,1,1,1,4,4,0,3,2,1,0,0,1,0,0,1,2,1,0,0,1,0,1,2,0,0,3,0,0,0,ENSG00000006059,ENST00000007735.4,ENST00000007735
19,15,5,13,14,14,7,5,9,3,7,2,11,8,9,9,9,9,11,6,9,17,13,10,6,11,13,3,4,7,7,7,13,5,3,10,9,10,9,6,9,11,4,2,4,1,0,3,12,10,2,8,4,8,4,4,7,9,2,1,12,4,3,7,ENSG00000008197,ENST00000008391.4,ENST00000008391
1,3,3,4,0,5,2,2,3,5,10,2,2,3,8,12,1,2,0,3,2,9,14,6,9,10,29,12,5,3,6,7,3,4,7,6,4,10,31,5,5,26,14,34,10,12,13,28,6,0,9,11,0,7,14,8,4,8,26,15,9,11,26,14,ENSG00000008405,ENST00000008527.10,ENST00000008527
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,1,2,1,2,3,2,0,0,1,2,0,0,1,0,0,0,1,0,0,0,3,1,1,1,0,0,ENSG00000008438,ENST00000008938.5,ENST00000008938
1,0,2,3,0,0,1,1,0,1,4,3,0,1,2,7,2,0,0,1,2,1,2,2,3,2,8,0,1,3,3,7,1,0,3,5,0,2,5,7,5,5,8,12,1,3,8,11,2,2,3,2,1,4,6,4,1,5,10,6,6,8,11,10,ENSG00000010270,ENST00000009041.12,ENST00000009041
0,0,0,1,0,0,2,0,0,0,1,0,0,3,4,2,1,1,0,1,1,0,1,0,1,1,4,1,0,1,2,0,0,1,2,6,1,0,1,3,6,2,8,4,0,1,6,1,0,0,0,0,1,2,3,0,2,2,7,3,0,1,2,0,ENSG00000010278,ENST00000009180.10,ENST00000009180
2,1,0,4,0,2,3,0,1,2,3,1,2,3,5,3,1,1,1,1,1,4,6,1,4,3,6,0,0,2,1,4,3,1,4,5,1,6,1,2,6,4,2,3,3,0,1,2,1,1,2,3,2,0,2,4,3,2,4,2,2,3,4,5,ENSG00000019582,ENST00000009530.13,ENST00000009530
0,0,2,4,0,1,0,0,2,1,1,2,1,1,2,5,1,0,0,0,0,2,1,2,2,1,3,4,3,1,1,1,2,0,2,2,0,1,4,4,0,2,1,4,1,1,8,2,3,1,2,3,1,1,4,0,2,5,2,2,4,3,1,1,ENSG00000008988,ENST00000009589.8,ENST00000009589
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,2,0,1,1,1,0,2,2,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,ENSG00000091704,ENST00000011292.8,ENST00000011292
1,0,3,3,0,0,0,0,2,2,1,1,4,1,8,6,0,0,1,0,0,0,3,0,1,3,12,4,1,0,2,5,2,0,0,7,1,2,12,5,2,10,14,26,3,4,25,18,3,0,2,8,0,1,5,3,4,5,25,21,6,4,18,7,ENSG00000010017,ENST00000011619.6,ENST00000011619
2,0,1,9,1,2,0,0,2,3,1,3,7,1,6,5,1,0,2,0,1,3,2,2,4,3,6,1,1,2,4,4,5,2,5,7,1,1,10,8,5,9,7,0,1,0,2,2,4,1,2,3,0,2,2,1,8,4,7,1,1,2,8,3,ENSG00000010610,ENST00000011653.9,ENST00000011653
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,2,2,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,3,0,0,0,2,0,3,1,1,0,1,0,1,1,3,1,0,ENSG00000008324,ENST00000011691.6,ENST00000011691
0,2,2,4,1,1,1,0,1,0,2,0,6,2,5,3,1,1,0,0,1,5,4,2,2,1,4,0,0,3,3,2,2,0,0,7,0,2,0,3,3,3,1,2,1,0,3,10,6,0,1,5,0,4,2,3,3,1,2,10,5,3,7,1,ENSG00000011105,ENST00000011898.10,ENST00000011898
1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,2,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,3,2,1,ENSG00000011478,ENST00000012049.10,ENST00000012049
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,ENSG00000011485,ENST00000012443.9,ENST00000012443
0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,3,1,0,1,2,0,0,1,2,0,2,0,0,0,2,3,0,0,0,2,1,ENSG00000012963,ENST00000013070.11,ENST00000013070
0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,ENSG00000241644,ENST00000013222.5,ENST00000013222
0,0,1,3,1,0,0,0,0,2,1,2,0,1,5,3,0,0,0,2,0,0,1,2,1,2,3,1,1,1,3,1,3,0,4,3,1,2,3,4,5,3,2,0,0,0,3,2,1,1,0,2,0,1,3,0,4,3,4,2,3,2,2,3,ENSG00000013588,ENST00000014914.6,ENST00000014914
0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,4,5,0,0,10,2,1,0,3,0,1,1,5,7,2,9,10,14,0,7,12,3,0,0,0,1,0,0,6,4,0,3,19,2,1,3,1,1,ENSG00000013583,ENST00000014930.9,ENST00000014930
0,0,0,1,0,0,1,0,1,0,1,0,3,0,1,3,0,0,0,0,0,1,3,2,2,1,2,0,0,3,0,4,0,1,1,2,0,3,1,3,1,3,2,0,0,0,0,1,1,0,1,5,0,2,1,2,0,2,1,1,4,2,2,2,ENSG00000014919,ENST00000016171.6,ENST00000016171
4,0,2,3,1,0,0,0,4,0,0,0,4,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,4,0,1,0,1,1,0,1,0,3,2,0,0,ENSG00000071203,ENST00000016913.8,ENST00000016913
0,0,0,1,0,0,0,0,2,2,0,3,0,4,2,2,0,0,1,0,0,1,2,3,2,2,3,3,1,0,5,7,0,0,4,5,1,4,6,4,1,3,0,5,1,3,9,6,1,0,1,2,0,1,2,6,4,8,6,8,2,2,11,5,ENSG00000015568,ENST00000016946.8,ENST00000016946
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,ENSG00000015532,ENST00000017003.7,ENST00000017003
1,1,1,1,0,0,1,2,0,0,2,3,1,2,8,7,0,0,0,1,1,0,0,0,2,0,6,4,2,0,3,5,2,1,3,6,0,1,5,5,2,6,7,11,2,3,10,19,1,1,2,9,0,0,6,3,8,5,11,14,8,4,19,14,ENSG00000080293,ENST00000019103.8,ENST00000019103
1,0,1,1,0,0,1,1,1,1,1,1,1,0,10,0,0,0,1,0,1,0,1,0,3,6,4,2,2,2,3,3,0,2,1,8,0,2,9,9,4,10,8,3,1,0,3,4,1,0,1,3,0,0,3,0,3,4,12,3,1,1,5,3,ENSG00000059915,ENST00000020673.6,ENST00000020673
0,0,0,1,0,0,1,0,0,0,1,0,1,0,5,2,0,0,0,0,0,0,0,0,0,1,4,2,1,0,3,3,0,0,1,1,0,0,5,6,1,4,9,7,0,1,3,11,1,1,1,5,0,0,1,1,1,5,7,6,7,1,8,7,ENSG00000019505,ENST00000020926.8,ENST00000020926
1,0,0,1,0,0,1,1,0,1,4,1,2,1,3,3,1,1,0,1,1,0,2,0,1,1,4,1,2,2,3,2,1,0,2,2,0,1,1,6,1,4,7,17,2,5,10,5,0,1,4,4,2,2,3,2,3,2,14,4,3,1,6,3,ENSG00000019549,ENST00000020945.4,ENST00000020945
0,0,0,2,1,1,0,0,1,0,1,0,5,0,3,2,2,0,0,0,0,3,3,2,2,2,0,1,1,0,1,3,0,1,0,3,1,2,1,2,0,4,2,0,0,1,0,2,0,1,2,6,0,2,1,1,1,0,3,2,2,3,2,1,ENSG00000078668,ENST00000022615.9,ENST00000022615
1,0,2,2,0,2,0,0,0,1,3,2,1,2,7,7,0,0,0,3,1,2,1,5,2,5,6,0,1,2,9,3,1,1,3,9,2,4,6,8,5,5,2,4,1,2,2,4,4,1,1,3,0,1,6,2,7,9,5,3,6,3,5,4,ENSG00000021488,ENST00000023064.9,ENST00000023064
5,8,6,9,4,2,5,3,6,3,5,2,9,10,8,9,10,2,1,4,4,5,6,6,8,6,8,8,4,5,14,6,7,3,2,12,3,5,10,14,8,14,11,18,6,4,12,24,6,2,7,11,6,9,9,7,2,9,27,18,7,11,22,9,ENSG00000023287,ENST00000025008.10,ENST00000025008
4,3,2,1,4,4,1,1,4,2,0,1,2,2,2,4,2,1,1,2,2,4,2,8,2,4,0,2,7,4,5,1,3,2,2,2,0,6,4,3,1,0,2,2,0,1,1,5,1,4,2,4,0,2,2,5,2,6,3,2,2,3,5,2,ENSG00000023516,ENST00000025301.4,ENST00000025301
4,3,2,5,1,2,0,1,1,3,3,0,4,2,1,2,2,0,1,1,2,3,0,2,0,1,0,2,3,1,0,1,1,1,2,1,0,2,1,1,3,0,0,0,1,1,0,0,7,0,3,1,1,0,2,1,1,0,0,0,3,0,0,0,ENSG00000079112,ENST00000027335.8,ENST00000027335
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,1,1,0,0,0,1,2,1,2,2,8,1,1,7,4,0,0,0,3,1,0,0,0,1,1,10,5,2,0,6,3,ENSG00000027847,ENST00000029410.10,ENST00000029410
8,6,8,12,1,12,13,10,8,12,21,9,24,22,24,30,3,6,7,12,13,19,26,32,16,31,44,14,23,29,30,42,4,13,14,42,7,32,44,55,24,52,42,41,18,12,29,28,19,11,22,31,7,27,26,25,25,39,52,22,20,24,56,29,ENSG00000033100,ENST00000035307.7,ENST00000035307
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,3,0,0,5,4,1,3,5,0,0,0,0,0,0,1,3,4,0,1,2,13,1,4,12,3,0,0,0,2,0,4,4,2,0,7,9,3,0,2,1,0,ENSG00000034713,ENST00000037243.7,ENST00000037243
0,0,0,3,0,0,1,0,1,0,3,0,2,0,7,3,0,0,0,0,0,1,1,0,2,2,2,0,0,0,1,0,2,1,4,6,0,1,3,1,6,3,1,0,0,0,0,0,1,0,0,3,0,0,0,0,4,1,4,0,1,0,2,0,ENSG00000034971,ENST00000037502.11,ENST00000037502
0,1,0,1,0,0,1,1,0,0,3,3,0,1,5,4,0,0,1,0,0,0,0,0,0,2,7,3,1,1,6,0,1,0,2,6,1,0,9,4,6,8,9,14,1,1,15,16,1,1,2,3,0,0,2,3,3,5,18,13,5,2,13,4,ENSG00000035681,ENST00000038176.8,ENST00000038176
1,2,2,2,1,2,1,0,2,1,0,0,2,2,0,2,2,0,1,3,4,4,2,1,1,1,1,1,0,1,1,3,2,2,2,0,1,3,0,2,0,1,1,1,0,1,1,0,2,0,0,1,0,2,1,2,1,3,1,0,1,1,3,1,ENSG00000036473,ENST00000039007.5,ENST00000039007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,4,0,0,0,1,0,0,0,1,1,1,2,1,0,1,3,2,ENSG00000052841,ENST00000039989.9,ENST00000039989
0,0,1,1,0,0,1,1,1,2,6,0,2,4,14,5,0,0,5,0,0,2,3,0,2,2,3,4,4,1,2,3,1,1,2,11,2,0,5,6,11,3,15,22,4,1,19,8,0,1,1,14,3,3,2,3,1,6,27,6,6,5,5,12,ENSG00000037965,ENST00000040584.6,ENST00000040584
0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,2,0,1,2,0,1,0,4,2,1,0,1,0,1,1,3,4,1,2,4,1,0,0,3,1,0,0,1,1,0,1,0,1,1,6,1,3,1,0,2,1,ENSG00000037757,ENST00000040663.8,ENST00000040663
0,0,2,0,0,0,3,0,3,1,1,0,0,1,1,4,1,0,0,0,0,0,3,3,2,1,8,1,0,0,3,3,1,1,2,6,0,3,4,2,3,4,6,9,0,3,4,5,0,2,1,0,1,3,2,1,2,3,7,2,3,3,6,3,ENSG00000038219,ENST00000040738.10,ENST00000040738
0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,2,0,1,1,2,0,1,2,0,0,2,1,1,0,3,1,3,0,0,7,6,0,0,0,1,0,0,1,2,4,1,4,4,1,2,5,3,ENSG00000059588,ENST00000040877.2,ENST00000040877
0,0,0,1,0,0,0,1,2,2,2,0,0,0,8,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,1,2,7,0,0,3,1,3,1,2,4,4,0,6,4,0,0,4,3,0,0,1,0,5,1,4,9,3,1,5,1,ENSG00000039523,ENST00000042381.9,ENST00000042381
1,0,2,0,0,0,0,1,0,1,3,3,2,1,7,0,0,0,1,1,0,1,1,0,1,0,2,2,0,1,4,1,1,0,1,3,1,1,2,4,3,7,16,19,5,2,17,14,1,1,4,6,1,0,2,1,1,0,23,16,5,0,10,6,ENSG00000040608,ENST00000043402.8,ENST00000043402
2,0,1,2,2,3,2,0,1,1,0,0,1,2,3,3,2,4,0,1,4,1,6,0,3,5,3,1,1,0,0,5,0,2,0,4,1,3,2,1,1,0,0,2,0,2,0,3,2,0,1,2,0,4,2,5,1,1,0,2,3,7,1,2,ENSG00000041357,ENST00000044462.12,ENST00000044462
0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,0,1,2,1,1,4,0,0,3,0,0,1,0,2,1,0,1,4,1,1,4,1,ENSG00000042813,ENST00000046087.7,ENST00000046087
2,1,3,2,0,4,2,1,3,4,4,3,9,3,7,6,2,0,1,1,1,4,5,6,3,3,9,3,9,2,6,4,1,4,3,4,2,3,10,10,2,10,4,5,6,3,5,7,4,2,6,16,1,5,1,5,5,8,4,10,6,3,8,7,ENSG00000040531,ENST00000046640.9,ENST00000046640
